precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
2.800 €/mes;Piso en calle del Padre Ignacio Ellacuria, 1;/alquilar/piso-carlos_v-44239960694_515274/;Carlos V (Laredo);2 habs.;1 baño;2ª planta;Le ofrecemos este maravilloso piso en alquiler en una de las zonas más demandadas de laredo, ya que está cerca del centro de la vi...;43.407608;-3.4276836;75 m²;cantabria
2.500 €/mes;;/alquilar/piso-laredo_centro39770-41733237227_515274/;Centro (Laredo);2 habs.;1 baño;2ª planta;Si buscas un piso de alquiler en el centro de laredo a tan solos unos minutos de la playa salvé y del puerto deportivo y cerquita...;43.4117967;-3.408122;45 m²;cantabria
1.000 €/mes;;/alquilar/piso-playa_ostende39700-45916036426_100500/;Playa Ostende (Castro Urdiales);2 habs.;1 baño;;"Inmobiliaria ubicate alquila a dos minutos de la playa de ostende!
*** por quincenas agosto 1000 euros
*** mes de agosto completo ...";43.390734289;-3.224376948;70 m²;cantabria
860 €/mes;;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;3ª planta;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;102 m²;cantabria
1.800 €/mes;Piso en calle Emperador, 14;/alquilar/piso-laredo_centro-83413495835_515274/;Centro (Laredo);2 habs.;3 baños;3ª planta;¡¡¡¡¡Exclusivo!!!!!!!!!!!!! ¡¡¡¡¡Gran oportunidad libre julio !!!!En el centro de laredo, edificio de reciente construcción, con a...;43.412067640313616;-3.4088998907182364;80 m²;cantabria
800 €/mes;Piso en calle de Benidorm, 7;/alquilar/piso-los_castros39005-45915427609_427100/;Los Castros (Santander);3 habs.;1 baño;7ª planta;Luminoso y acogedor, frente a las universidades. **alquiler temporal desde septiembre hasta junio**, séptima altura, con fantástic...;43.470097;-3.7939267;71 m²;cantabria
2.600 €/mes;Piso en calle de Menéndez Pelayo, 30;/alquilar/piso-laredo_centro-35075618053_515274/;Centro (Laredo);2 habs.;2 baños;1ª planta;"¡Precioso piso en alquiler en el centro de laredo para disfrutar de tus vacaciones de verano!

Cerca de todos los servicios y a es...";43.41252605730827;-3.412753663287109;87 m²;cantabria
2.400 €/mes;Piso en calle de Gutiérrez Rada, 15;/alquilar/piso-laredo_centro39770-45093022677_515274/;Centro (Laredo);2 habs.;1 baño;1ª planta;Eprimera línea de la playa salvé de laredo se encuentra este impresionante piso recién reformado que presentamos hoy desde pisos ...;43.412;-3.41564;80 m²;cantabria
2.000 €/mes;;/alquilar/piso-carlos_v-43386268999_515274/;Carlos V (Laredo);2 habs.;1 baño;2ª planta;"Maravilloso piso cerca de la playa y a un paso del centro de laredo , en una residencia con zonas verdes y zonas de parking.
Este ...";43.407179696;-3.427329305;70 m²;cantabria
2.800 €/mes;Piso en Avenida de la Libertad, 12;/alquilar/piso-carlos_v-39239394321_515274/;Carlos V (Laredo);3 habs.;2 baños;2ª planta;Maravilloso piso en alquiler en una de las mejores zonas de laredo, a un paso del centro y en plena playa, con servicios al lado...;43.409;-3.42926;85 m²;cantabria
1.400 €/mes;Piso en calle de Menéndez Pelayo, 18;/alquilar/piso-laredo_centro-95928829667_515274/;Centro (Laredo);2 habs.;1 baño;8ª planta;"¡¡Ideal para pasar aquí tus vacaciones!! En la zona del puerto deportivo de laredo y a un paso de la playa.
Totalmente reformado c...";43.41200870073221;-3.412780612745633;70 m²;cantabria
1.800 €/mes;Piso en Barrio de Hoz de Marrón, 1;/alquilar/piso-ampuero_centro_urbano-36709489416_515274/;Ampuero;3 habs.;2 baños;2ª planta;"Piso nuevo a estrenar con todas las comodidades a un paso y en residencia privada con piscina comunitaria.
Vivienda de tres habita...";43.34108222088374;-3.4415177186846164;100 m²;cantabria
1.800 €/mes;Piso en calle del Tinaco, 1;/alquilar/piso-laredo_centro-7554943739_515274/;Centro (Laredo);1 hab.;1 baño;1ª planta;Estupendo piso en alquiler en el casco antiguo de laredo donde poder disfrutar de tus vacaciones de verano en el corazón de la vil...;43.411386557183164;-3.4101485489631624;55 m²;cantabria
1.500 €/mes;;/alquilar/duplex-cotolino39700-43402313260_100500/;Cotolino (Castro Urdiales);3 habs.;3 baños;4ª planta;"Alquiler de larga duración
Ático dúplex en excelente ubicación de cotolino, a tan solo 50 metros de la playa de brazomar, muy cerc...";43.3676199;-3.2121912;180 m²;cantabria
1.900 €/mes;Piso en calle de la República de Colombia, 10;/alquilar/piso-zona_playa-31740166937_515274/;Zona Playa (Laredo);2 habs.;1 baño;11ª planta;Estupendo piso donde poder pasar unas estupendas vacaciones de verano a escasos metros de la playa salvé, en residencia privada co...;43.410659623409124;-3.4357415514077276;62 m²;cantabria
2.500 €/mes;Piso en Avenida de Francia, 95;/alquilar/piso-laredo_el_puntal-30091518740_515274/;El Puntal (Laredo);3 habs.;2 baños;7ª planta;"Estupendo piso en alquiler para disfrutar de tus vacaciones de verano en 1ª línea de playa y ¡¡Con unas vistas inmejorables!!

El ...";43.4244;-3.44668;120 m²;cantabria
2.500 €/mes;Piso en calle de la República de Colombia, 10;/alquilar/piso-laredo_centro_urbano-26763756527_515274/;Zona Playa (Laredo);2 habs.;2 baños;1ª planta;¡Estupendo piso en segunda línea de playa para disfrutar de tus vacaciones de verano! El piso cuenta con dos habitaciones, baño y ...;43.410659623409124;-3.4357415514077276;75 m²;cantabria
725 €/mes;;/alquilar/piso-valdenoja_la_pereda39012-35016607321_100500/;Valdenoja (Santander);1 hab.;1 baño;1ª planta;"Apartamento en alquiler para verano

Deluxe santander pone en alquiler este estupendo apartamento en avenida cantabria muy próximo...";43.476135006;-3.805887567;50 m²;cantabria
3.600 €/mes;;/alquilar/piso-zona_playa-44201315301_515274/;Zona Playa (Laredo);2 habs.;3 baños;Bajo;Te presentamos este estupendo piso en una de las residencias con la mejor vista de laredo. La vivienda está en primerisima línea d...;43.420609863;-3.443522489;90 m²;cantabria
