precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
263.000 €;Piso en Avenida de José Ortega y Gasset,  s/n;/comprar/piso-penacastillo_nueva_montana39011-4199485809_109700/;Peñacastillo-Nueva Montaña (Santander);3 habs.;2 baños;117 m²;Portal 1, 5º E, V3D.17. Piso en una finca de obra nueva de 117 m2 de superficie construida y emplazado en la zona de Santander, posicionado en planta 5. Está dispuesto en 3 habitaciones, 1 baño completos y terraza. Cuenta como extras ascensor, garaje.;43,4450963;-3,859817;5ª planta;;cantabria
59.900 €;Casa en calle Bº Horneo (Parque Natutal Collados del Asón, nº 748;/comprar/casa-hazas_soba-20904422724_100500/;Hazas (Soba);1 hab.;1 baño;194 m²;(ver videos a modo de visita virtual). Conjunto de 2 cabañas independientes de 194 m² construidos en total en 2 plantas c/u. En te...;43.20421780979461;-3.6009917494559716;;;cantabria
135.000 €;Casa en Cañeda;/comprar/casa-campoo_de_enmedio_caneda-43333539687_109300/;Cañeda (Campoo de Enmedio);4 habs.;2 baños;330 m²;"Magnífica casa de pueblo con finca rústica en venta

Te presentamos esta encantadora casa de pueblo semi reformada, con una supe...";43.018329278;-4.11771606;;;cantabria
223.000 €;Piso en calle Fuente Fresnedo, 2;/comprar/piso-laredo_centro-15879601686_100500/;Centro (Laredo);4 habs.;2 baños;141 m²;Edificio situado en pleno corazón de laredo, en el casco antiguo, dos pisos a reformar, planta 1ª de 136 m² y planta 2ª de 138 m²....;43.4114;-3.41151;2ª planta;;cantabria
330.000 €;Chalet unifamiliar en calle Peñaflor, nº 1;/comprar/chalet_unifamiliar-limpias_sena-43401087449_515274/;Seña (Limpias);3 habs.;4 baños;226 m²;"Si estás buscando la casa de tus sueños. Deja de buscar!

Desde pisos laredo, os presentamos este increíble chalet a tan solo 5 ...";43.393696;-3.4184759;;;cantabria
45.000 €;Casa en calle Valcaba, nº 1220;/comprar/casa-bustancilles-41702492373_500437/;Bustancillés (Soba);;;188 m²;(recomendamos ver vídeos). En un marco natural incomparable se encuentra esta cabaña independiente de piedra y sillería (“a”) de 1...;43.16267003233463;-3.5659213824295364;;;cantabria
890.000 €;Casa en calle Murillo, 15;/comprar/casa-sancibrian_soto_de_la_marina-12590783047_427100/;Sancibrián (Santa Cruz de Bezana);5 habs.;4 baños;581 m²;Sofisticada casa en privilegiada situación. En la localidad de soto de la marina, perteneciente a la costa cantábrica, encontramos...;43.47075586624257;-3.8819617024884177;;;cantabria
235.000 €;Casa en Nestares;/comprar/casa-campoo_de_enmedio_nestares-43334441561_109300/;Nestares (Campoo de Enmedio);4 habs.;2 baños;300 m²;"Excelente casa independiente en venta en nestares

Te presentamos esta espectacular casa ubicada en la encantadora localidad de ne...";43.001953061;-4.152282046;;;cantabria
730.000 €;Casa en calle Tejera;/comprar/casa-boo_de_pielagos-45077243208_528326/;Boo de Piélagos (Piélagos);6 habs.;2 baños;2.413 m²;¡Oportunidad única en el mercado! Se vende espectacular propiedad en una parcela de 2.413 m² con dos casas segregadas horizontalme...;43.426383656;-3.94005833;;;cantabria
750.000 €;Casa en Carriazo;/comprar/casa-carriazo-43402279759_108500/;Carriazo (Ribamontán Al Mar);13 habs.;3 baños;1.300 m²;Desde inmobiliaria uranga os presentamos esta casona montañesa de piedra en la zona de ribamontán al mar. Situada en un entorno ma...;43.442218884;-3.707385113;;;cantabria
74.000 €;Piso en Ampuero;/comprar/piso-ampuero_centro_urbano-45036931572_106000/;Ampuero;3 habs.;1 baño;72 m²;"Piso de tres dormitorios en  ampuero

Rubio inmobiliaria les presenta en exclusiva esta fabulosa vivienda en el centro ampuero. Ub...";43.342153842;-3.421942647;4ª planta;;cantabria
105.000 €;Ático en calle Mayor, nº 8;/comprar/atico-laredo_centro39770-27546020659_100500/;Centro (Laredo);4 habs.;1 baño;127 m²;Os presentamos en multi-exclusividad esta vivienda en el casco histórico de laredo. Este inmueble, tiene la ventaja de contar con ...;43.4117;-3.41219;;;cantabria
265.000 €;Piso en calle C. Marqués de Comillas, nº 10;/comprar/piso-laredo_centro39770-41760665229_100500/;Centro (Laredo);3 habs.;2 baños;101 m²;Os presentamos en multi-exclusiva este fantástico piso en el centro de laredo, a 50 metros de la playa y de la alameda miramar, co...;43.4105;-3.41721;1ª planta;;cantabria
179.000 €;Dúplex en calle de Pancho Cossío;/comprar/duplex-dualez_ganzo_torres-43367338448_100500/;Duález-Ganzo-Torres (Torrelavega);2 habs.;2 baños;80 m²;Este dúplex de 80 metros cuadrados, construido en 2005, ofrece un espacio luminoso y soleado con una orientación este que te permi...;43.352239373;-4.052004764;3ª planta;;cantabria
69.900 €;Piso en Avenida de Conde Albox, 5;/comprar/piso-limpias_centro_urbano-43382742398_515274/;Limpias;2 habs.;1 baño;64 m²;Hoy desde pisos laredo, tenemos el placer de presentaros este estupendo piso en limpias completamente reformado a tan solo unos p...;43.360363;-3.4220421;3ª planta;;cantabria
166.000 €;Piso en Centro;/comprar/piso-laredo_centro39770-41696616827_515274/;Centro (Laredo);3 habs.;1 baño;105 m²;En el centro de la villa, cerca de todas las comodidades como supermercados, bares, restaurantes, farmacias, colegios, etc y a t...;43.411375581;-3.412695363;Bajo;;cantabria
199.000 €;Chalet en Barrio de Udalla, 28;/comprar/chalet-ampuero_centro_urbano-43391642131_100500/;Ampuero;10 habs.;;584 m²;Inmobiliaria ezker aldea pone en venta en exclusiva imponente casa construida en 1900 en el barrio de udalla, idílica localización...;43.3155;-3.45066;;;cantabria
295.000 €;Piso en calle de Bruno Alonso;/comprar/piso-puerto_chico39004-45000171655_100500/;Puerto Chico (Santander);3 habs.;1 baño;85 m²;¿Buscas un piso en una buena zona de santander? ¿Te gusta la zona canalejas? A nosotros también, asi que ven a ver este piso con v...;43.4660038;-3.7906079;1ª planta;;cantabria
1.800.000 €;Chalet en Avenida de la Reina Victoria;/comprar/chalet-sardinero39004-91692625407_100500/;El Sardinero (Santander);6 habs.;5 baños;538 m²;Exclusiva vivienda para reformar en una de las calles más señoriales de la ciudad de santander con maravillosas vistas a la bahía....;43.4638448;-3.7858204;;;cantabria
