precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
950 €/mes;;/alquilar/duplex-arco_norte_la_alqueria41704-45932735058_100500/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3 habs.;2 baños;118 m²;Bajo;Dúplex en arco norte, dos hermanas, zona muy bien comunicada con sevilla. Alquiler para un periodo mínimo de un año, renovable. Ub...;37.295161072;-5.937642207;sevilla
1.300 €/mes;;/alquilar/piso-la_buhaira_san_bernardo41004-45834839529_100500/;La Buhaira-San Bernardo (Distrito Nervión. Sevilla Capital);2 habs.;3 baños;70 m²;Bajo;Si estás buscando alquiler /alquiler temporal, estamos convencidos de que habrás visto decenas de pisos que, por un motivo u otro,...;37.380905;-5.9853023;sevilla
1.350 €/mes;;/alquilar/piso-triana_casco_antiguo41010-44174496893_523453/;Triana Casco Antiguo (Distrito Triana. Sevilla Capital);3 habs.;1 baño;94 m²;Bajo;"Kámaraljarafe, la agencia que te acompaña a tu nuevo hogar.

¡Alquila este encantador piso en la vibrante calle rodrigo de triana,...";37.384097;-6.0042652;sevilla
775 €/mes;;/alquilar/piso-san_pablo_santa_justa_san_pablo41007-45093863850_103800/;San Pablo (Distrito San Pablo-Santa Justa. Sevilla Capital);3 habs.;;65 m²;4ª planta;Piso  en san pablo, con 65 m² construidos, 3 dormitorios, 1 baños, semi reformado, exterior, planta 4, 1 armarios, cocina con elec...;37.394371464;-5.966951477;sevilla
550 €/mes;;/alquilar/piso-zona_plazas_el_arenal_la_polvora41701-45928973693_100500/;Zona Plazas El Arenal-La Pólvora (Distrito Zona Centro. Dos Hermanas);3 habs.;1 baño;83 m²;3ª planta;"Piso amueblado para entrar a vivir situado en la zona centro en (dos hermanas).
Se compone de salón-comedor, tres habitaciones cad...";37.2840154;-5.9215249;sevilla
2.400 €/mes;;/alquilar/casa_pareada-zona_ronda_de_triana_cartuja41010-44199560776_100500/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);4 habs.;;168 m²;;¡Bienvenidos al corazón de triana! En este hermoso chalet pareado de dos plantas, encontrarás el hogar perfecto para tu familia. C...;37.3823668;-6.0061451;sevilla
700 €/mes;;/alquilar/piso-alcala_de_guadaira_centro-45838603856_100500/;Centro (Alcalá de Guadaíra);2 habs.;1 baño;93 m²;3ª planta;**estupendo piso recién reformado ,ubicado en pleno centro de alcalá y rodeado de todo tipo de servicios sin necesidad de coger el...;37.3391945;-5.8393503;sevilla
1.915 €/mes;;/alquilar/piso-feria_alameda41002-24212310118_100500/;Feria-Alameda (Distrito Casco Antiguo. Sevilla Capital);2 habs.;2 baños;170 m²;3ª planta;"Estupendo y singular piso en el casco histórico de sevilla, zona alameda de hércules. Amueblado. 

Impecable, con altos techos de ...";37.3970797;-5.993784;sevilla
675 €/mes;;/alquilar/casa_adosada-mairena_del_alcor_centro_urbano-45931506610_100500/;Mairena del Alcor;3 habs.;2 baños;102 m²;;Magnifico chalet adosado que consta de 3 dormitorios, 2 cuartos de baño, salón, cocina, 2 trasteros, terraza, patio delantero y ja...;37.3814513;-5.7443047;sevilla
3.000 €/mes;;/alquilar/chalet-alcala_de_guadaira_nueva_alcala-25001943293_501484/;Nueva Alcalá (Alcalá de Guadaíra);2 habs.;2 baños;1.000 m²;;"¿Necesitas un descanso? Alquiler de chalet vacacional para mes de julio y agosto.
Precio mes completo: 3.000€.
Precio por quincena...";37.3600916;-5.7914166;sevilla
360 €/mes;Piso en Paseo de Europa, 32;/alquilar/piso-elcano_los_bermejales41012-45007847326_109800/;Elcano-Los Bermejales (Distrito Bellavista-La Palmera. Sevilla Capital);4 habs.;2 baños;90 m²;3ª planta;Piso de 100 m² con 90 m² de superficie útil ubicado en la zona de área de sevilla y ubicado en la 3ª planta. Está dispuesto en 4 h...;37.3439;-5.979465;sevilla
260 €/mes;;/alquilar/piso-cerro_amate_la_plata-45928248645_523770/;La Plata (Distrito Cerro Amate. Sevilla Capital);3 habs.;1 baño;80 m²;4ª planta;"Alquiler para estudiantes sevilla
Solo estudiantes

Precio por habitación 
Solo se alquila a estudiantes 
Piso para estudiantes 
H...";37.3688494;-5.9499097;sevilla
450 €/mes;;/alquilar/piso-pino_montano41015-39176042746_101800/;Pino Montano (Distrito Norte. Sevilla Capital);2 habs.;1 baño;50 m²;;Alquiler subvencionado por la consejería de fomento y vivienda de la junta de andalucia, en régimen de alquiler  (con garaje y tra...;37.4257581;-5.9711338;sevilla
800 €/mes;;/alquilar/piso-barrio_leon_el_tardon_blas_infante41010-45047982347_104700/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);2 habs.;;62 m²;;Piso en c/ juan díaz de solís. Tiene 62m², consta de 2 dormitorios, salón con balcón, cocina y baño. Vivienda en perfecto estado (...;37.3780124;-6.0096981;sevilla
600 €/mes;;/alquilar/piso-alcala_del_rio_centro_urbano-45013644597_523453/;Alcalá del Río;2 habs.;1 baño;70 m²;Bajo;"Kámaraljarafe, la agencia que te acompaña a tu nuevo hogar.
Descubre este fantástico piso en alcalá del río, de 68 metros útiles, ...";37.5178606;-5.9791237;sevilla
850 €/mes;;/alquilar/piso-mairena_del_aljarafe_casco_antiguo-45908894016_527869/;Casco Antiguo (Mairena del Aljarafe);3 habs.;2 baños;99 m²;1ª planta;Estupendo piso en hermanas mirabal, mairena del aljarafe, situado en una urbanización privada con piscina, zonas comunes y garaje....;37.3508949;-6.0645813;sevilla
700 €/mes;;/alquilar/chalet-oromana-44245596548_106000/;Oromana (Alcalá de Guadaíra);2 habs.;2 baños;108 m²;;"Alquiler en huerta el cura solo profesores!!!
Se alquila precioso chalet de septiembre a junio solo a profesores!!!
Chalet como nu...";37.282228227;-5.885112933;sevilla
1.200 €/mes;;/alquilar/chalet_unifamiliar-carmona_centro_urbano-44189634083_516479/;Carmona;3 habs.;3 baños;180 m²;;Estupendo chalet independiente en pino grande de una sola planta muy luminosa en urbanización cerrada con vigilancia de 24h y fáci...;37.4348218;-5.8200438;sevilla
1.170 €/mes;;/alquilar/piso-barrio_leon_el_tardon_blas_infante41010-45007509645_104700/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);3 habs.;;65 m²;;"Disponible para estudiantes para el curso 2024-2025
 Características del inmueble: piso de 65 m² con 3 dormitorios, salón con sali...";37.3765012;-6.0125496;sevilla
750 €/mes;;/alquilar/piso-mairena_del_aljarafe_simon_verde-45062714643_100500/;Simón Verde (Mairena del Aljarafe);2 habs.;1 baño;63 m²;2ª planta;Mairena del aljarafe.- residencial mar báltico. Piso amueblado, superficie de 63 metros cuadrados aproximadamente, se distribuye e...;37.3465284;-6.0386498;sevilla
1.580 €/mes;;/alquilar/casa_unifamiliar-el_zaudin_club_de_golf-28415152707_519787/;El Zaudín-Club de Golf (Bormujos);3 habs.;4 baños;350 m²;;"Magnifico chalet de diseño en alquiler en obra nueva a estrenar y en la mejor zona del aljarafe.
Este chalet está integrado en una...";37.3660322;-6.0634842;sevilla
800 €/mes;;/alquilar/piso-los_remedios_barrio41011-45052355079_100500/;Los Remedios (Distrito Los Remedios. Sevilla Capital);1 hab.;1 baño;45 m²;2ª planta;Estupendo apartamento totalmente amueblado en los remedios. Ubicado en uno de los lugares con más servicios alrededor: comercios, ...;37.374667319;-5.998008105;sevilla
800 €/mes;;/alquilar/piso-san_pablo_santa_justa_san_pablo41007-45900526783_106000/;San Pablo (Distrito San Pablo-Santa Justa. Sevilla Capital);3 habs.;1 baño;96 m²;3ª planta;¡Atención estudiantes! Presentamos un piso en alquiler ideal para el curso académico, disponible de septiembre a junio. Situado en...;37.3962313;-5.9659947;sevilla
900 €/mes;;/alquilar/piso-nervion_barrio41005-45915651554_100500/;Nervión (Distrito Nervión. Sevilla Capital);1 hab.;1 baño;60 m²;5ª planta;"Se alquila por 11 meses¡ Alquilamos este estupendo apartamento amueblado, exterior y muy amplio, en el barrio de nervión. 
Se encu...";37.3849673;-5.9652376;sevilla
595 €/mes;Piso en Avenida del Primero de Mayo, 163;/alquilar/piso-coria_del_rio_centro_urbano-44219332583_991152/;Coria del Río;3 habs.;2 baños;90 m²;1ª planta;"Se alquila este acogedor piso en el 1º piso, con una superficie total de 90 m² y 80 m² útiles. 

Cuenta con 3 habitaciones individ...";37.296482;-6.051645;sevilla
2.500 €/mes;Piso en calle San Pablo;/alquilar/piso-museo41001-45096394992_100500/;Museo (Distrito Casco Antiguo. Sevilla Capital);3 habs.;;200 m²;2ª planta;"El hogar que buscas en sevilla: un fantástico piso ubicado en plano casco histórico, en calle san pablo.

 Situado en una cuarta p...";37.3902;-5.9983;sevilla
