precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
186.000 €;Piso en San Luis;/comprar/piso-palafolls_centro_urbano-682232204_169200/;Palafolls;3 habs.;1 baño;100 m²;Superf. 80 m²,  3 habitaciones 2 dobles,  1 individual,  1 baño, cocina, lavadero, comedor ,con salida a terraza, terraza 20 m, su...;41.659978071;2.748713139;Bajo;;barcelona
359.000 €;Casa adosada en Carrer de Bertran de Seva;/comprar/casa_adosada-hostal_lledoner08402-42562290864_528060/;L'Hostal-Lledoner (Granollers);4 habs.;2 baños;250 m²;"Se vende fantástica casa unifamiliar adosada, reformada nueva a estrenar en granollers.

Se trata de una vivienda de tres plantas ...";41.6144696;2.2946326;;;barcelona
260.000 €;Piso en Carrer de Pompeu Fabra;/comprar/piso-casagemes_canyado-39181859735_992744/;Casagemes-Canyadó (Badalona);3 habs.;1 baño;97 m²;"¿Que te parecen estas ideas para tu nuevo hogar?!!
Bienvenido a tu nuevo hogar en una de las zonas más encantadoras de badalona, d...";41.456508;2.2582708;4ª planta;;barcelona
205.000 €;Casa en Carrer de Lluís Coll;/comprar/casa-manlleu_centro_urbano-37599371918_365900/;Manlleu;6 habs.;3 baños;240 m²;Finca con dos pisos independientes de 3 habitaciones cada uno al lado de las piscinas municipales. La casa tiene un amplio garaje ...;42.003631582;2.290981743;;;barcelona
300.000 €;Piso en Carrer de Jaume Puigvert;/comprar/piso-can_baro08024-43402220711_101800/;Can Baró (Distrito Horta-Guinardó. Barcelona Capital);4 habs.;1 baño;84 m²;Esta vivienda es perfecta para aquellos que buscan un hogar luminoso y acogedor. Ubicado en el barrio can baró del distrito horta-...;41.416553;2.1610966;Entresuelo;;barcelona
540.000 €;Ático en Carrer d'En Grassot;/comprar/atico-el_camp_en_grassot_gracia_nova08025-4243071164_109700/;El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital);2 habs.;2 baños;73 m²;P2-02. Ático en una finca de obra nueva de 73 m2 de superficie construida y emplazado en la zona de Barcelona Capital. Está dispuesto en 2 habitaciones, 2 baños completos, terraza y dispone de certificación energética A. Cuenta como extras ascensor.;41,4046999;2,1660209;;;barcelona
119.000 €;Piso en Centro;/comprar/piso-olesa_de_montserrat_centro_urbano-40068589782_100500/;Olesa de Montserrat;4 habs.;1 baño;74 m²;"Planta baja distribuida en 4 habitaciones, 1 baño, cocina, comedor y pequeño lavadero.
Municipio que dispone de todos los servicio...";41.539928145;1.894082487;Bajo;;barcelona
239.386 €;Piso en Carrer de Balmes;/comprar/piso-malgrat_de_mar_centro_urbano-45021149071_169200/;Malgrat de Mar;3 habs.;2 baños;80 m²;Excelente piso en 2º linea de mar , con unos acabados inmejorables, dos habitaciones dobles y una simple ,cocina completamente equ...;41.640861733;2.73658812;Bajo;;barcelona
169.000 €;Ático en Carrer de Marcel·lí Esquius;/comprar/atico-pubilla_cases-45085173028_525021/;Pubilla Cases (L'Hospitalet de Llobregat);3 habs.;1 baño;60 m²;"*whatsapp para visitas.-6.0.2-2.5-4.5-1.2*
(seis-cero-dos-veinticinco-cuarenta y cinco- doce) 

_____________estudio miraflores l’...";41.3700684;2.0995642;;;barcelona
145.000 €;Piso en Carrer de Feliu Tura;/comprar/piso-collegis_nous-32565897122_100500/;Col·legis Nous (Mollet del Vallès);2 habs.;1 baño;93 m²;¡Bienvenido al hogar de tus sueños en mollet del valles! En el barrio de los col.legis nous, se encuentra esta vivienda de 93 m² c...;41.541796316;2.212399385;2ª planta;;barcelona
