precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
2.111€;Cozy Rural House Oreña;https://rd.clk.thribee.com/id.1S1OKgW141do/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.11/;39525, Provincia de Cantabria;6  habitaciones;1  baños;140  m²;...or the town of Comillas with its particular charm. This villa is of great scenic interest as it is located on the Central Coast of Cantabria...;Hace 12 días;Rentola;Cantabria
900€;Elsa's Whim;https://rd.clk.thribee.com/id.21eqhY1z1h1J/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.12/;39560, Provincia de Cantabria;3  habitaciones;1  baños;40  m²;Unquera is a charming town located in the north of Spain, in the autonomous community of Cantabria. Surrounded by a stunning mountain...;Hace 17 días;Rentola;Cantabria
700€;Ático En alquiler Calle Tantín, Santander, Centro - Ayuntamiento, Santander;https://rd.clk.thribee.com/id.19e_1B_Ntb/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.13/;39001, Santander, Provincia de Cantabria;1  habitaciones;1  baños;50  m²;...Cantabria y el centro cultural CASYC. Contrato para larga estancia, año completo prorrogable. *Se requiere trabajo estable, solvencia...;Hace 6 días;Rentola;Cantabria
1.100€;2 dormitorio, Santander 39619 1ES63038-;https://rd.clk.thribee.com/id.1FU1C1l1-LG1t/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.14/;39619, Santander, Provincia de Cantabria;2  habitaciones;1  baños;-;TRV63038---. Piso completo de 2 dormitorios en Cantabria...;Hace +30 días;Listanza;Cantabria
5.214€;Se alquila casa individual en Guriezo;https://rd.clk.thribee.com/id.1nM71z01Q1P1H/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.15/;39788, Guriezo, Provincia de Cantabria;3  habitaciones;2  baños;100  m²;...disfrutar de los días y noches de verano de relax. Precio orientativo: 1.200 semana. Consultar fechas y precios en el Garanty Home Cantabria...;Hace 17 días;Rentola;Cantabria
1.000€;Santander 39619 1ES63643-;https://rd.clk.thribee.com/id.WQb1yo1458/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.16/;39619, Santander, Provincia de Cantabria;-;1  baños;-;TRV63643---. Piso completo de 1 dormitorio en Cantabria...;Hace +30 días;Listanza;Cantabria
650€;Piso en Santander;https://rd.clk.thribee.com/id.s1CJ1d1r1qN1A/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.17/;39002, Santander, Provincia de Cantabria;2  habitaciones;1  baños;61  m²;...Cantabria. El inmueble se distribuye en dos dormitorios, salón, cocina amueblada y equipada, y un baño, dispone de una pequeña terraza...;Hace 6 días;Rentola;Cantabria
1.100€;2 dormitorio, Santander 39360 1ES61247-;https://rd.clk.thribee.com/id.pX191T1n141EV/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.18/;39360, Santander, Provincia de Cantabria;2  habitaciones;1  baños;-;TRV61247---. Piso completo de 2 dormitorios en Cantabria...;Hace +30 días;Listanza;Cantabria
3.380€;4 Bedroom Apartment;https://rd.clk.thribee.com/id.I1l1dNu1dC1d/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.19/;39707, Castro-Urdiales, Provincia de Cantabria;4  habitaciones;2  baños;75  m²;...via the A-8 Cantábrico motorway. Otañes is a quiet town located in a green valley. It belongs to the Autonomous Community of Cantabria...;Hace 17 días;Rentola;Cantabria
708€;Alterhome - Beautiful apartment in Unquera;https://rd.clk.thribee.com/id.Xt-1Q1SM1N5/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.20/;39560, Provincia de Cantabria;2  habitaciones;1  baños;45  m²;The apartment is spacious and bright, with sea views. It is located just a few steps from the beautiful sandy beach, which means that you can enj...;Hace 17 días;Rentola;Cantabria
900€;2 dormitorio, Santander 39001 1ES73271-;https://rd.clk.thribee.com/id.0z1CHjG1X/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.21/;39001, Santander, Provincia de Cantabria;2  habitaciones;-;-;TRV73271---. Esta casa se encuentra en Santander Santander 39001. Tiene 2 dormitorios. Esta 2 dormitorio apartamentos en Santander Santander es p...;Hace 10 días;Listanza;Cantabria
590€;Piso reformado con 2 habitaciones zona Calle Burgos;https://rd.clk.thribee.com/id.1-1D1u1QW1Gl/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.22/;39010, Santander, Provincia de Cantabria;2  habitaciones;1  baños;65  m²;Bonito piso todo reformado en Calle Isaac Peral, cerca de Calle Burgos compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción i...;Hace 17 días;Rentola;Cantabria
330€;Santander 39001 1ES48767-;https://rd.clk.thribee.com/id.11cM1-zT1g1-/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.23/;39001, Santander, Provincia de Cantabria;-;-;-;TRV48767---. Esta casa se encuentra en Santander Santander 39001. Tiene 0 dormitorio. Esta 0 dormitorio apartamentos en Santander Santander es pa...;Hace +30 días;Listanza;Cantabria
782€;Habitacion en Apartamento de 3 Habitaciones con baño privado;https://rd.clk.thribee.com/id.151Eb1b1z1Q1Nl/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.24/;39011, Santander, Provincia de Cantabria;1  habitaciones;1  baños;-;Room in Avenida Herrera Oria Available from: Book now: Min. Stay: 10 Max. Stay: 18 Deposit: 782 Contract opening costs: Matrícula 250 euros a par...;Hace 17 días;Rentola;Cantabria
575€;Alquiler temporada estudiantes -verano-apartamento reformado;https://rd.clk.thribee.com/id.1A1C4DceQp/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.25/;39001, Santander, Provincia de Cantabria;1  habitaciones;1  baños;56  m²;Descripción se alquila temporada escolar apartamento-estudio interior reformado en el centro hasta el 30 de junio de 2025 – posibilidad de alquil...;Hace 11 días;Rentola;Cantabria
1.103€;2 dormitorio, Los Corrales de Buelna 39400 1ES68465-;https://rd.clk.thribee.com/id.1A1vJ1h124p1I/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.1/;39400, Los Corrales de Buelna, Provincia de Cantabria;2  habitaciones;-;-;TRV68465---. Esta casa se encuentra en Los Corrales de Buelna Los Corrales de Buelna 39400. Tiene 2 dormitorios. Esta 2 dormitorio apartamentos e...;Hace 10 días;Listanza;Cantabria
1.950€;2 dormitorio, Santander 39003 1ES58190-;https://rd.clk.thribee.com/id.01981T1p1W2i/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.2/;39003, Santander, Provincia de Cantabria;2  habitaciones;-;-;TRV58190---. Esta casa se encuentra en Santander Santander 39003. Tiene 2 dormitorios. Esta 2 dormitorio apartamentos en Santander Santander es p...;Hace +30 días;Listanza;Cantabria
750€;1 dormitorio, Santander N/D 1ES48767-;https://rd.clk.thribee.com/id.121j31c1m10Hk/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.3/;Santander, Provincia de Cantabria;1  habitaciones;1  baños;-;TRV48767---. Esta casa se encuentra en Santander Santander N/D. Tiene 1 dormitorio, 1 baño. Esta 1 dormitorio apartamentos en Santander Santander...;Hace +30 días;Listanza;Cantabria
675€;Piso zona Calle Alta reformado con 3 habitaciones;https://rd.clk.thribee.com/id.191hM1219481o/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.4/;39008, Santander, Provincia de Cantabria;3  habitaciones;1  baños;75  m²;Piso totalmente zona ascensor panorámico, reformado compuesto por 3 habitaciones, salón, cocina y baño, exterior, calefacción eléctrica, todo amu...;Hace 17 días;Rentola;Cantabria
500€;Zona Colegio Salesianos con 2 habitaciones;https://rd.clk.thribee.com/id.161w171Y91N1t1b/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.5/;39006, Santander, Provincia de Cantabria;2  habitaciones;1  baños;50  m²;Piso en Calle José Escandón con 2 habitaciones, salón, cocina equipada y baño, exterior muy luminoso al sur, calefacción individual gas, todo amu...;Hace 8 días;Rentola;Cantabria
650€;Excelente piso en Peñacastillo con 2 habitaciones y parking;https://rd.clk.thribee.com/id.19PNhQ1oO1h/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.6/;39011, Santander, Provincia de Cantabria;2  habitaciones;1  baños;75  m²;Bonito piso en Peñacastillo cerca del “Go Fit” compuesto por 2 habitaciones, salón, cocina equipada y baño, exterior muy luminoso al sur, calefac...;Hace 17 días;Rentola;Cantabria
750€;Zona osos todo reformado con 2 habitaciones;https://rd.clk.thribee.com/id.1C1n1uM4G171G/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.7/;39007, Santander, Provincia de Cantabria;2  habitaciones;2  baños;70  m²;Piso todo reformado en General Dávila cerca de los Osos o traída de aguas compuesto por 2 habitaciones, salón, cocina equipada y 2 baños, uno en...;Hace 17 días;Rentola;Cantabria
750€;Alquiler temporal de Septiembre a Junio;https://rd.clk.thribee.com/id.1CE77b1x61Z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.8/;39001, Santander, Provincia de Cantabria;2  habitaciones;1  baños;65  m²;Se alquila piso a partir del 16 de Septiembre hasta 30 de Junio, luminoso, con vitas a la bahía. Distribuido en salón, 2 habitaciones, cocina y 1...;Hace 1 día;Rentola;Cantabria
837€;Santander 39560 1ES62904-;https://rd.clk.thribee.com/id.1D1x_131q1_1kN/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.9/;39560, Santander, Provincia de Cantabria;-;1  baños;-;TRV62904---. Piso entero de 1 dormitorio en Unquera...;Hace +30 días;Listanza;Cantabria
1.050€;Calle Fernández de Isla, Santander - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1E1uZ-F1eU1J/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.10/;39008, Santander, Provincia de Cantabria;1  habitaciones;1  baños;-;Apartamento en Santander, con 1 dormitorio y 1 cuarto de baño. Este inmueble, con un precio de 1050 €, es la opción ideal para alquileres de larg...;Hace 1 día;Rentola;Cantabria
650€;Piso céntrico cerca Ayuntamiento con 3 habitaciones;https://rd.clk.thribee.com/id.1GkG1ipp81/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.11/;39002, Santander, Provincia de Cantabria;3  habitaciones;1  baños;80  m²;Piso muy céntrico cerca del Ayuntamiento compuesto por 3 habitaciones, salón, cocina y un baño, exterior muy luminoso al sur, calefacción, todo a...;Hace 17 días;Rentola;Cantabria
330€;Habitación en piso compartido en Santander;https://rd.clk.thribee.com/id.1IDr1Kd1y1b/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15190trovit-web-7f7dc96976-ctngt6687033bd9f56/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.2/cookieid.10201126687033bcab455.77108589/pos.12/;04001, Santander, Provincia de Cantabria;3  habitaciones;-;80  m²;DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...;Hace 17 días;Rentola;Cantabria
