precio;sub_descr;href;ubicacion;planta;otros;latitude;longitude;habitaciones;banios;mt2;CCAA
280.750 €;Piso en calle Nuevo Bulevar Esq. Con Ctra. Armensilla,  S/N;/comprar/piso-nuevo_bulevar-4454447766_109700/;Nuevo Bulevar (Mairena del Aljarafe);3ª planta;Portal 3, 3º C. Piso en un inmueble de obra nueva de 111 m2 de superficie construida y situado en la zona de Mairena del Aljarafe, acomodado en planta 3. Está estructurado en 3 habitaciones, 2 baños completos y terraza. Aporta como extras ascensor, 2 garajes y trastero.;37,3333;-6,06233;3 habs.;2 baños;111 m²;sevilla
95.000 €;;/comprar/piso-centro_dona_mercedes41701-40898652750_100200/;Centro-Doña Mercedes (Distrito Zona Centro. Dos Hermanas);;Plaza bruselas: piso de vpo en plaza bruselas que consta de 1 dormitorio, salón con terraza, cocina amueblada, baño completo con b...;37.2780285;-5.9292842;1 hab.;1 baño;58 m²;sevilla
360.000 €;;/comprar/casa_unifamiliar-palomares_del_rio_centro_urbano-41689306992_101000/;Palomares del Río;;"¡Increíble oportunidad de adquirir un chalet independiente en venta en palomares del río! 

Esta vivienda cuenta con una parcela d...";37.3227431;-6.0683311;5 habs.;3 baños;220 m²;sevilla
530.000 €;;/comprar/piso-pineda_pedro_salvador41013-45858329895_519264/;Pineda-Pedro Salvador (Distrito Bellavista-La Palmera. Sevilla Capital);3ª planta;Al final de la  avda. De la palmera, frente al estadio benito villamarín, en una zona tranquila y perfecta para vivir, con todos l...;37.3551227;-5.9796241;3 habs.;2 baños;142 m²;sevilla
140.000 €;;/comprar/casa_adosada-san_juan_de_aznalfarache_barrio_alto-45028161114_510950/;Barrio Alto (San Juan de Aznalfarache);;Estupenda casa de pueblo en san juan de aznalfarache. A tan solo 2 minutos andando del mercadona y escasos minutos del centro de s...;37.3588476;-6.0312589;4 habs.;1 baño;124 m²;sevilla
79.000 €;;/comprar/piso-osuna_centro_urbano-44234706000_510829/;Osuna;Bajo;La paz: planta baja: entrada, salón con aire acondicionado, cocina amueblada, 3 dormitorios, amplio baño, lavadero. Buen estado, m...;37.239823766;-5.112155238;3 habs.;1 baño;79 m²;sevilla
230.000 €;Ático en Avenida Escultora La Roldana, 5;/comprar/atico-alcala_de_guadaira_nueva_alcala-43403502023_100900/;Nueva Alcalá (Alcalá de Guadaíra);;Vivienda totalmente reformada recientemente, contando con instalaciones de luz y agua totalmente nuevas. Tiene una distribución co...;37.3411;-5.826;3 habs.;2 baños;135 m²;sevilla
86.050 €;;/comprar/casa-el_real_de_la_jara_centro_urbano-42512128087_100500/;El Real de La Jara;;En plena sierra norte de sevilla, en el real de la jara, ponemos a su disposición esta magnifica casa señorial en calle principal ...;37.9495722;-6.1518993;7 habs.;1 baño;368 m²;sevilla
230.000 €;;/comprar/chalet-olivares_centro_urbano-43353849847_100500/;Olivares;;En los momentos como los actuales, en los que todo son prisas, ruidos y estrés, llegar a casa, cerrar la puerta y escuchar sólo el...;37.4214178;-6.1411587;4 habs.;3 baños;168 m²;sevilla
174.800 €;Piso en calle de Nueva Delhi, 6;/comprar/piso-avenida_de_las_ciencias_emilio_lemos41020-4621345635_109700/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);Bajo;Vivienda de 3 dormitorios con 2 baños  planta baja superficie constr. 83 m², útil 71 m² sin terraza, garaje incluido…. 174.800 € +...;37.4040435;-5.9200277;3 habs.;2 baños;83 m²;sevilla
83.000 €;;/comprar/piso-el_plantinar_el_juncal_avenida_de_la_paz41013-44204217008_100200/;El Plantinar-El Juncal-Avenida de la Paz (Distrito Sur. Sevilla Capital);;"¡¡¡Reservado!!!
Dolores ibarruri.
Piso de 90 m². 3 dormitorios, salón comedor con terraza, baño muy amplio con placa ducha y jacuz...";37.3623793;-5.9621867;3 habs.;1 baño;113 m²;sevilla
171.000 €;Piso en calle Guayaquil, 1;/comprar/piso-la_oliva_poligono_sur41006-44216349751_511858/;La Oliva-Polígono Sur (Distrito Sur. Sevilla Capital);3ª planta;"Magnifica oportunidad de ser propietario de una vivienda de obra nueva con excelentes calidades. 
Nueva promoción de viviendas de ...";37.36500435204621;-5.950853931588881;4 habs.;2 baños;80 m²;sevilla
235.000 €;;/comprar/chalet-carmona_centro_urbano-44264857844_100500/;Carmona;;Gran oportunidad de vivir en un chalet de estilo clásico, cómodo y confortable en urbanización la cierva, con piscina, zonas comun...;37.4060731;-5.7546584;3 habs.;3 baños;113 m²;sevilla
130.990 €;;/comprar/casa_pareada-osuna_centro_urbano-39215606495_100200/;Osuna;;"¡¡Gran oportunidad!!
Estupenda vivienda en c/mancilla muy amplia que se encuentra distribuida en planta baja y dos pisos completa...";37.2355948;-5.1095173;9 habs.;5 baños;420 m²;sevilla
A consultar;;/comprar/chalet-oromana-41753607609_100500/;Oromana (Alcalá de Guadaíra);;En de alcalá de guadaira a 3 minutos en coche de campoalegre se encuentra este estupendo chalet (urbano no consolidado hipotecable...;37.3047265;-5.8564672;4 habs.;2 baños;116 m²;sevilla
233.800 €;;/comprar/piso-el_plantinar_el_juncal_avenida_de_la_paz41006-43365556457_100200/;El Plantinar-El Juncal-Avenida de la Paz (Distrito Sur. Sevilla Capital);3ª planta;Si deseas vivir en uno de los barrios más exclusivos de sevilla, esta es tu oportunidad. Este piso se encuentra en el juncal, en u...;37.3725576;-5.9659432;4 habs.;;111 m²;sevilla
415.000 €;;/comprar/apartamento-casco_antiguo_san_julian41003-45071717180_100500/;San Julián (Distrito Casco Antiguo. Sevilla Capital);3ª planta;En esta cautivadora vivienda de 4 habitaciones, una de ellas en suite,  y 2 baños se encuentra situada en ronda de capuchinos y en...;37.397787093;-5.981451112;4 habs.;2 baños;139 m²;sevilla
