precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
194.500 €;Piso en Avenida Anda Jaleo,  s/nº;/comprar/piso-san_jose_de_la_rinconada-4444969259_109700/;San José de La Rinconada (La Rinconada);;;;Bajo;Portal 4, bajo d. Piso en un inmueble de obra nueva y situado en la zona de san josé de la rinconada, acomodado en planta baja. Es...;37.495969258;-5.936866898;sevilla
310.000 €;Piso en Gran Plaza, 2;/comprar/piso-nervion_barrio41005-39201427814_100500/;Nervión (Distrito Nervión. Sevilla Capital);6 habs.;4 baños;151 m²;2ª planta;Se trata de un piso en plena gran plaza, que originalmente tenía vestíbulo de entrada, salón-comedor, 4 dormitorios, 2 baños ,coci...;37.3813;-5.96615;sevilla
165.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43362976275_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;1 baño;59 m²;1ª planta;"¡Descubre tu nuevo hogar de obra nueva!
Esta maravillosa vivienda en planta primera con ascensor te ofrece dos opciones de distrib...";37.3741;-5.96087;sevilla
229.600 €;Piso en Avenida de Manuel Clavero Arévalo,  s/n;/comprar/piso-montequinto_el_colmenar41089-4535690439_109700/;Montequinto-El Colmenar (Dos Hermanas);2 habs.;2 baños;111 m²;4ª planta;Portal 1, 4º a. Piso en una finca de obra nueva de 111 m² de superficie construida y emplazado en la zona de dos hermanas, posicio...;37.318582274;-5.936561471;sevilla
185.500 €;Piso en Avenida Universidad de Salamanca,  s/n;/comprar/piso-zona_universitaria-4493637605_109700/;Zona Universitaria (Bormujos);2 habs.;2 baños;83 m²;4ª planta;Bormujos 1. P2 4f. Piso en una finca de obra nueva de 83 m² de superficie construida y emplazado en la zona de bormujos, posiciona...;37.371559043;-6.081288391;sevilla
449.000 €;Casa en calle de los Hermanos Machado;/comprar/casa-olivares_centro_urbano-35066922297_515011/;Olivares;4 habs.;6 baños;415 m²;;Esta casa rodeada de 5.650 m² de terreno cuenta con distintas edificaciones, siendo una opción ideal tanto para uso de vivienda co...;37.415655128374574;-6.155876164333004;sevilla
465.000 €;Piso en Avenida de Reina Mercedes;/comprar/piso-los_remedios_barrio41012-35869397935_525238/;Los Remedios (Distrito Los Remedios. Sevilla Capital);4 habs.;3 baños;164 m²;1ª planta;"Sin honorarios al comprador 

Profecionales con mas de 20 ano de experiencia 

Alvaross traviesa le ofrece una excepcional viviend...";37.362395;-5.9859351;sevilla
179.200 €;Piso en Avenida de José Rodríguez de la Borbolla Camoyán,  s/n;/comprar/piso-montequinto_el_colmenar41704-44209113721_109700/;Montequinto-El Colmenar (Dos Hermanas);2 habs.;2 baños;87 m²;;Piso en un inmueble de obra nueva de 87 m² de superficie construida y situado en la zona de dos hermanas. Está estructurado en 2 h...;37.315149;-5.931887;sevilla
52.000 €;Piso en calle Mejillón;/comprar/piso-san_jeronimo_la_bachillera41015-45043148327_525238/;San Jerónimo-La Bachillera (Distrito Norte. Sevilla Capital);2 habs.;1 baño;49 m²;3ª planta;Este encantador piso en venta se encuentra en la tercera planta de un edificio en sevilla capital. Con una superficie total de 49 ...;37.4282556;-5.9823864;sevilla
235.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43347937126_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);3 habs.;2 baños;92 m²;1ª planta;"Obra nueva en primera planta con ascensor.
Esta amplia vivienda cuenta con tres habitaciones, dos baños y un espacioso salón comed...";37.3741;-5.96087;sevilla
70.000 €;Casa unifamiliar en calle de San Pedro;/comprar/casa_unifamiliar-la_puebla_de_cazalla_centro_urbano-43368551530_100200/;La Puebla de Cazalla;3 habs.;2 baños;163 m²;;"¡Fantástica vivienda reformada!
 Esta vivienda se encuentra situada en calle san pedro, cerca de nuestra magnífica iglesia.
Este i...";37.220395558;-5.307429901;sevilla
320.000 €;Apartamento en calle San José;/comprar/apartamento-san_bartolome_juderia41004-43422272638_100500/;San Bartolomé-Judería (Distrito Casco Antiguo. Sevilla Capital);;2 baños;156 m²;Bajo;"Estamos antes un gran espacio de 156 m² en pleno centro de sevilla.
Actualmente es un local, al que se le está realizando el  camb...";37.3880281;-5.9888925;sevilla
299.000 €;Piso en Centro - Puerta Carmona;/comprar/piso-san_roque_la_calzada41003-39246842577_106000/;San Roque-La Calzada (Distrito Nervión. Sevilla Capital);3 habs.;2 baños;99 m²;3ª planta;"Acanto inmobiliaria le ofrece amplio y luminoso piso  en amador de los rios. !!!!
99 m² construidos, que se distribuyen en una ent...";37.3917998;-5.9830552;sevilla
85.000 €;Casa adosada en calle calle Santa Cruz;/comprar/casa_adosada-el_castillo_de_las_guardas_centro_urbano-45013470590_100500/;El Castillo de Las Guardas;3 habs.;2 baños;100 m²;;Si estás buscando levantarte de la cama y contemplar el campo, respirando el aire puro de la mañana, no busques más, porque esta e...;37.685029713;-6.400435017;sevilla
350.000 €;Piso en Zona Ronda de Triana-Cartuja;/comprar/piso-zona_ronda_de_triana_cartuja41010-44240748694_101800/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);3 habs.;2 baños;93 m²;3ª planta;¡Haz realidad tu sueño de vivir en un hogar perfecto! A escasos metros de ronda de triana. Te presentamos este magnífico piso de 9...;37.3843535;-6.0119309;sevilla
370.000 €;Casa en Alcalá de Guadaíra;/comprar/casa-oromana-44220837006_104700/;Oromana (Alcalá de Guadaíra);4 habs.;3 baños;208 m²;;"La vivienda que estabas esperando sale a la venta; chalet independiente en parcela de 555 m² y 208 m² de vivienda construida. Se e...";37.3144127;-5.8620799;sevilla
154.900 €;Casa en calle Marqués de Pickman;/comprar/casa-nervion_ciudad_jardin41005-39192082383_525238/;Ciudad Jardín (Distrito Nervión. Sevilla Capital);3 habs.;1 baño;125 m²;;Alva ross inmobiliaria real estate les ofrece esta fantástica casa (antes local)urbana en un sitio muy céntrico de marques pickman...;37.3810791;-5.9616316;sevilla
269.000 €;Casa adosada en calle Gordal, 26;/comprar/casa_adosada-palomares_del_rio_centro_urbano-4148837192_109700/;Palomares del Río;3 habs.;3 baños;132 m²;;Chalet 42. Casa adosada de obra nueva, de 132 m² de superficie construida, y ubicada en la zona de palomares del río.  Está distri...;37.3185114;-6.0765056;sevilla
260.000 €;Chalet en calle de Juan Gómez Torga;/comprar/chalet-villanueva_del_rio_y_minas_centro_urbano-25047539864_101800/;Villanueva del Río y Minas;9 habs.;3 baños;338 m²;;¡Sin comisiones! Gran casa independiente estilo palacete, con múltiples estancias y habitaciones. Está para reformar, ya que una r...;37.660975;-5.7139301;sevilla
