precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta;CCAA
1.300 €/mes;;/alquilar/piso-chamartin_prosperidad28002-44190322282_100200/;Prosperidad (Distrito Chamartín. Madrid Capital);1 baño;70 m²;"'agencia inmobiliaria de madrid zona prosperidad – alfonso xiii oficina tecnocasa alquila piso en la c/ santa hortensia.

Piso muy...";40.4455582;-3.6696993;2 habs.;4ª planta;madrid
1.850 €/mes;;/alquilar/piso-recoletos28001-45015292005_108900/;Recoletos (Distrito Salamanca. Madrid Capital);1 baño;59 m²;Pro realty alquila este precioso apartamento abuhardillado de un dormitorio, con ascensor en la mejor zona de la calle serrano con...;40.4275656;-3.6876513;1 hab.;;madrid
3.800 €/mes;;/alquilar/piso-chamartin_el_viso28046-45011675412_515716/;El Viso (Distrito Chamartín. Madrid Capital);3 baños;230 m²;Se alquila  piso espacioso en la zona de el viso, situado en la planta 7º y con una superficie total de 230 m². Este luminoso piso...;40.4502011;-3.6901261;4 habs.;7ª planta;madrid
1.000 €/mes;;/alquilar/apartamento-fuencarral_el_pardo_la_paz28034-45046173925_521707/;La Paz (Distrito Fuencarral-El Pardo. Madrid Capital);1 baño;50 m²;Monteriver alquila apartamento. Es un bajo amueblado, salón comedor, habitación con cama doble, cocina integrada equipada (lavador...;40.4828849;-3.7049548;1 hab.;Bajo;madrid
1.450 €/mes;Piso en calle de Nerja, 3;/alquilar/piso-legazpi_barrio28045-11698509767_100500/;Legazpi (Distrito Arganzuela. Madrid Capital);2 baños;90 m²;"Servifincas arganzuela alquila amplia vivienda de 2 dormitorios en urbanización privada.
 
 Incluye plaza de garaje y trastero. 
 ...";40.3895;-3.69392;2 habs.;2ª planta;madrid
850 €/mes;Piso en calle del Amparo, 10;/alquilar/piso-centro_embajadores_lavapies28012-45880302092_525207/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);1 baño;40 m²;"Calle amparo 
Alquiler temporal, para estudiantes, plazo inferior a un año.
Ten piso alcalá alquila excelente apartamento amueblad...";40.410698;-3.7039604;1 hab.;4ª planta;madrid
1.400 €/mes;;/alquilar/piso-chamberi_vallehermoso28003-36751291100_100500/;Vallehermoso (Distrito Chamberí. Madrid Capital);;66 m²;Avenida reina victoria!. Estupenda vivienda, muy bien ubicada en madrid. Actualmente disponible. Consta de dos dormitorios, de tam...;40.4461812;-3.7140001;2 habs.;;madrid
3.150 €/mes;;/alquilar/chalet-monte_rozas_la_chopera28232-45051709742_108900/;Monte Rozas-La Chopera (Las Rozas de Madrid);4 baños;330 m²;Precioso chalet independiente en monte rozas. Parcela llana de 1.255 m². Destacar de esta vivienda la cómoda distribución que tien...;40.5198068;-3.9154053;5 habs.;;madrid
1.400 €/mes;;/alquilar/piso-marroquina28030-45836255136_100900/;Marroquina (Distrito Moratalaz. Madrid Capital);2 baños;115 m²;Piso amueblado, tres dormitorios, dos ascensores, baño con plato de ducha, un aseo, suelos de parquet, aire acondicionado, portero...;40.40568;-3.6505671;3 habs.;Bajo;madrid
1.300 €/mes;;/alquilar/piso-chamartin_ciudad_jardin28002-31744656299_100200/;Ciudad Jardín (Distrito Chamartín. Madrid Capital);1 baño;70 m²;Agencia inmobiliaria de madrid - chamartín - prosperidad, ciudad jardín - zona auditorio - tecnocasa - alquila - calle nieremberg ...;40.4485893;-3.6731784;2 habs.;;madrid
