precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
5.773€;Plaza Romanilla, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1gJ18g16Dj1N/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.13/;18001, Provincia de Granada;3  habitaciones;1  baños;1.507  m²;...Granada It's well known for grand examples of medieval architecture dating to the Moorish occupation, especially the Alhambra. This sprawling...;Hace 1 día;Rentola;Granada
320€;Nice single bedroom near the center of Granada;https://rd.clk.thribee.com/id.1l1RO1H1u21Z1N/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.14/;18001, Provincia de Granada;6  habitaciones;2  baños;-;Heading to beautiful Granada? Check out this lovely apartment! Very well located, close to all you need, public transports, shops and...;Hace 7 días;Rentola;Granada
420€;Comfy double bedroom in the center of Granada;https://rd.clk.thribee.com/id.1qK1Ss1Y1L1c1c/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.15/;18001, Provincia de Granada;6  habitaciones;2  baños;-;Heading to beautiful Granada? Check out this lovely apartment! Very well located, close to all you need, public transports, shops and...;Hace 6 días;Rentola;Granada
380€;Bright double bedroom within a short walk to Granada city center;https://rd.clk.thribee.com/id.1kuOq1mN1gD/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.16/;18004, Provincia de Granada;6  habitaciones;2  baños;-;Se alquilan lujosas habitaciones en Granada, las habitaciones disponen de todas las comodidades y el piso está compuesto por 2 baños, un aseo...;Hace 17 días;Rentola;Granada
390€;Habitación amueblada en un apartamento de 4 dormitorios en La Chana, Granada;https://rd.clk.thribee.com/id.1m6C1Y716f1k/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.17/;18015, Provincia de Granada;4  habitaciones;-;-;...Granada Facultad de Bellas Artes está a solo 5 minutos a pie de este apartamento, por lo que es un lugar ideal para estudiantes. Hay una...;Hace 17 días;Rentola;Granada
980€;Piso de 3 dormitorios en Avda. Constitución, Granada;https://rd.clk.thribee.com/id.1x81Ufz_1O1H/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.18/;28670, Provincia de Granada;3  habitaciones;-;75  m²;...online. Un lugar ideal para todos aquellos que quieran disfrutar de la mejor ubicación y sumergirse en la vasta historia y cultura de Granada...;Hace 17 días;Rentola;Granada
310€;Habitación amueblada en apartamento de 5 dormitorios en Ronda, Granada;https://rd.clk.thribee.com/id.1x1--1v6O1r1F/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.19/;18400, Provincia de Granada;5  habitaciones;-;130  m²;"...Granada Fuentenueva y la zona está llena de animados restaurantes, bares y cafeterías. Cosas interesantes para hacer alrededor; visite la...";Hace 17 días;Rentola;Granada
345€;Habitación decorada en un apartamento de 5 dormitorios en Ronda, Granada;https://rd.clk.thribee.com/id.1pfNo1JzG1i/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.20/;18400, Provincia de Granada;5  habitaciones;-;130  m²;"...Granada Fuentenueva y la zona está llena de animados restaurantes, bares y cafeterías. Cosas interesantes para hacer alrededor; visite la...";Hace 17 días;Rentola;Granada
951€;C. Duquesa, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1q161E1l1P1E1U1v/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.21/;18001, Provincia de Granada;1  habitaciones;1  baños;-;Studio apartment for rent in Granada. The properties include balcony, air conditioning and elevator. Important: This property is one of a set...;Hace 1 día;Rentola;Granada
775€;C. Emperatriz Eugenia, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1sGY1S1g1r1M1B/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.22/;18002, Provincia de Granada;1  habitaciones;1  baños;-;Studio apartment for rent in Granada. The properties include air conditioning and elevator. Important: This property is one of a set. This...;Hace 1 día;Rentola;Granada
