precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
450.000 €;Piso en calle Sant Vicent Màrtir,  S/N;/comprar/piso-arrancapins46007-3191616189_109700/;Arrancapins (Distrito Extramurs. València Capital);2 habs.;2 baños;;Escalera c, 6º 2d08. Piso en un edificio de obra nueva y ubicado en la zona de valència capital, enclavado en planta 6. Está distr...;39.4641228;-0.3863958;6ª planta;;valencia
5.000.000 €;Casa unifamiliar en Rocafort;/comprar/casa_unifamiliar-rocafort_centro_urbano-22578512201_997236/;Rocafort;8 habs.;11 baños;1.272 m²;"Espectacular villa de lujo en urbanizacion cerrada
Se encuentra a tan solo 9 km de valencia en una urbanizacion de prestigio con s...";39.545568868;-0.417213299;;;valencia
190.000 €;Piso en calle de Altamira;/comprar/piso-pucol_centre-45048906427_100500/;Centre (Puçol);4 habs.;;122 m²;"¿Necesitas espacio para vivir con comodidad y disfrutar de tu familia? No sigas buscando porque lo tenemos.

Se trata de una estup...";39.6214993;-0.3078091;2ª planta;;valencia
525.000 €;Casa adosada en calle Sector Virentia,  S/N;/comprar/casa_adosada-godella_centro_urbano-4531506782_109700/;Godella;4 habs.;3 baños;155 m²;D12-tipo 12 a. Casa adosada de obra nueva, de 155 m² de superficie construida, y situada en la zona de godella.  Está estructurada...;39.5335155;-0.4354231;;;valencia
259.990 €;Piso en 46021;/comprar/piso-amistat-43403505961_500328/;L'Amistat (Distrito Algirós. València Capital);4 habs.;2 baños;123 m²;Si deseas vivir en unas de las mejores zonas de valencia, ha llegado el momento !!! Se vende vivienda exterior en exclusiva ,con g...;39.4683826;-0.3518988;3ª planta;;valencia
397.000 €;Piso en Carrer de Luis de Santángel;/comprar/piso-russafa46005-45063822604_100500/;Russafa (Distrito L'Eixample. València Capital);5 habs.;2 baños;118 m²;¿Llevas ya tiempo buscando una vivienda en el centro de valencia?, ¿Nada de lo que has visto o visitado te convence? ¡Tenemos la v...;39.4628586;-0.3675403;5ª planta;;valencia
483.000 €;Piso en Avenida de los Hermanos Machado;/comprar/piso-benicalap_barrio46025-27523571638_109700/;Benicalap (Distrito Benicalap. València Capital);3 habs.;2 baños;94 m²;Piso en un inmueble de obra nueva de 94 m² de superficie construida y situado en la zona de valència capital. Está estructurado en...;39.497753831;-0.383673359;;;valencia
129.000 €;Casa en La Font D´En Carròs;/comprar/casa-la_font_en_carros_centro_urbano-38403434197_526681/;La Font d'en Carròs;5 habs.;2 baños;400 m²;Espectacular oportunidad de inversión, muy buena relación espacio-ubicación-precio, la casa de 4 plantas en estado a reformar, con...;38.915995265;-0.171016009;;;valencia
1.100.000 €;Chalet en Montepilar;/comprar/chalet-montepilar-38431276081_109300/;Montepilar (L'Eliana);4 habs.;5 baños;505 m²;Esta excepcional propiedad se ubica en la localidad valenciana de la eliana, la zona residencial con más tradición de la provincia...;39.561896341;-0.545622959;;;valencia
89.000 €;Piso en Carrer de Zorrilla, 9;/comprar/piso-oliva_nucli_urba-42584252180_109700/;Nucli Urbà (Oliva);3 habs.;2 baños;92 m²;Magnífica promoción de viviendas de 2 y 3 dormitorios listas para entrar a vivir en el centro de oliva. Diferentes orientaciones y...;38.8931;-0.100269;;;valencia
150.000 €;Casa adosada en Naquera;/comprar/casa_adosada-naquera_naquera_centro_urbano-25849816418_100500/;Nàquera - Náquera;2 habs.;3 baños;91 m²;Adosado esquinero en promoción de adosados totalmente reformados a estrenar desde 150.000€ en una de las mejores zonas de nàquera,...;39.666158782;-0.426465039;;;valencia
148.000 €;Apartamento en Playa La Pobla de Farnals;/comprar/apartamento-playa_la_pobla_de_farnals-43355308391_521567/;Playa La Pobla de Farnals (La Pobla de Farnals);1 hab.;1 baño;56 m²;Gran oportunidad de tener el mar en tu hogar. Con este fantástico apartamento que te presentamos en la playa de puebla de farnals,...;39.560982631;-0.289146624;7ª planta;;valencia
75.000 €;Casa en Macastre;/comprar/casa-macastre_centro_urbano-37583987030_992277/;Macastre;3 habs.;1 baño;246 m²;Estupenda casa de pueblo en la avenida principal de macastre,rodeada de todos los servicios,panaderías,tiendas,carnicerías,centro ...;39.380871;-0.7877516;;;valencia
129.900 €;Piso en calle de Aldaia, 3;/comprar/piso-alaquas_centro_urbano-42554850012_524085/;Alaquàs;3 habs.;2 baños;107 m²;"Piso luminoso en pleno centro de alaquàs, para entrar a vivir sin necesidad de realizar ninguna reforma.
A la entrada de la vivien...";39.45860093196858;-0.4634139056187376;4ª planta;;valencia
358.500 €;Chalet en calle Laurel,  s/n;/comprar/chalet-la_conarda_montesano46117-2389243406_109700/;La Conarda-Montesano (Bétera);4 habs.;3 baños;136 m²;Nº 11. Chalet pareado de obra nueva de 136 m2 de superficie construida y situado en la zona de Bétera. Está estructurado en 4 habitaciones, 3 baños completos y jardín de 158,40 m2. Aporta como extras garaje. Parcela de 164,12 m2.;39,5796255;-0,5053066;;;valencia
1.400.000 €;Piso en Passeig de l'Albereda;/comprar/piso-exposicio-41734732733_100500/;Exposició (Distrito El Pla del Real. València Capital);4 habs.;4 baños;218 m²;"Pineda luxury les ofrece vivienda totalmente renovada con vistas al rio turia.

En una de las zonas mas privilegiadas de valencia
...";39.4751018;-0.3651148;7ª planta;;valencia
670.000 €;Chalet en Centre;/comprar/chalet-paterna_centre46980-40875020749_109300/;Centre (Paterna);5 habs.;4 baños;350 m²;Esta exclusiva villa se ha construido sobre una de las parcelas más grandes de la urbanización montecañada, una de las más demanda...;39.5019878;-0.441290547;;;valencia
215.000 €;Casa en calle del Maestro Ruperto Chapí;/comprar/casa-el_puig_de_santa_maria_centro_urbano-43405355696_997738/;El Puig de Santa Maria;3 habs.;1 baño;132 m²;"Casa de pueblo en el centro de el puig

Vivienda ubicada en la localidad de el puig, en el centro de la localidad, cerca de todos ...";39.589118612;-0.299136151;;;valencia
62.000 €;Casa en Alborache;/comprar/casa-alborache_centro_urbano-34224410510_992277/;Alborache;3 habs.;1 baño;238 m²;Casa de pueblo con 2 viviendas independientes planta baja y piso: se ubica sobre una parcela 156 m² y cuenta 238 m² construidos,pl...;39.3930711;-0.7727539;;;valencia
311.000 €;Piso en Carrer de la Melissa, 42;/comprar/piso-valterna_terramelar46989-4530862797_109700/;Valterna-Terramelar (Paterna);3 habs.;2 baños;140 m²;Esc.a-p3-b. Piso en una finca de obra nueva de 140 m² de superficie construida y emplazado en la zona de paterna, posicionado en p...;39.518937976;-0.437631511;3ª planta;;valencia
899.500 €;Piso en Carrer Colón;/comprar/piso-la_xerea46004-39247684878_993930/;La Xerea (Distrito Ciutat Vella. València Capital);5 habs.;3 baños;243 m²;*** en venta o alquiler para larga duración ***señorial, amplia y luminosa vivienda en venta en pleno centro de valencia, situada ...;39.4699937;-0.3706041;7ª planta;;valencia
246.000 €;Piso en Carrer Practicante Vicente Fajardo;/comprar/piso-tavernes_blanques_centro_urbano-41691496435_511859/;Tavernes Blanques;3 habs.;2 baños;119 m²;"Piso de 3 habitaciones con terraza de obra nueva a estrenar.
Nos complace anunciar una promoción de obra nueva con entrega de llav...";39.510547971;-0.363981004;Entresuelo;;valencia
799.000 €;Chalet en calle Virgen de los Desamparados;/comprar/chalet-los_monasterios_alfinach-13375696679_100500/;Los Monasterios-Alfinach (Puçol);3 habs.;3 baños;360 m²;Asentada sobre una parcela de casi 920 m² y con una superficie construida de 360 m², rodeada de naturaleza y muy cerca del club de...;39.6336212;-0.3417008;;;valencia
370.000 €;Piso en calle Sector Virentia,  S/N;/comprar/piso-godella_centro_urbano-4180698731_109700/;Godella;3 habs.;2 baños;110 m²;Bloque 5 portal 10 p02 puerta c. Piso en una finca de obra nueva de 110 m² de superficie construida y emplazado en la zona de gode...;39.5335155;-0.4354231;2ª planta;;valencia
179.900 €;Apartamento en Playa La Pobla de Farnals;/comprar/apartamento-playa_la_pobla_de_farnals-45091268969_521567/;Playa La Pobla de Farnals (La Pobla de Farnals);2 habs.;1 baño;99 m²;En inmuebles zona costa le traemos el mar al que puede ser su nuevo hogar, donde disfrutar de la playa situada apenas a unos 300 m...;39.5618963;-0.2906863;2ª planta;;valencia
360.000 €;Piso en calle del Maestro Aguilar, 2;/comprar/piso-russafa46006-43395793267_992222/;Russafa (Distrito L'Eixample. València Capital);3 habs.;2 baños;91 m²;Les ofrecemos una vivienda reformada con estilo nórdico frente al conocido mercado de ruzafa, un punto estratégico en una de las z...;39.461422;-0.37034845;4ª planta;;valencia
160.000 €;Piso en Centre;/comprar/piso-betera_centre46117-45061451913_515510/;Centre (Bétera);3 habs.;2 baños;100 m²;"Llave maestra oficina de la eliana c/ marques de cáceres 52 ; les ofrece excelente vivienda en betera , finca con ascensor , dispo...";39.591260577;-0.458143364;3ª planta;;valencia
690.000 €;Chalet en Chiva;/comprar/chalet-chiva_centro_urbano-25060996631_109300/;Chiva;6 habs.;8 baños;556 m²;Esta encantadora villa de aire distinguido y clásico está diseñada para disfrutar de una vida relajada con la mayor comodidad y el...;39.4701996;-0.7222953;;;valencia
89.500 €;Piso en Avinguda de Beniopa, 82;/comprar/piso-republica_argentina_iglesia_cristo_rey46701-37571315169_100500/;República Argentina-Iglesia Cristo Rey (Distrito Gandia Ciutat. Gandia);4 habs.;1 baño;110 m²;En la zona de san pere, con 110 m. De superficie encontramos en la tercera planta este piso que cuenta con 4 habitaciones, y 1 bañ...;38.9706;-0.189287;3ª planta;;valencia
130.000 €;Casa en L'Eixereta;/comprar/casa-eixereta-42509962935_524143/;L'Eixereta (Burjassot);2 habs.;1 baño;78 m²;Encantadora planta baja sin vecinos arriba, lista para ser transformada según tus sueños y gustos personales! Ubicada en el corazó...;39.509111386;-0.416036488;;;valencia
175.000 €;Piso en calle de los Rosales;/comprar/piso-benicalap_barrio46025-26715024084_994429/;Benicalap (Distrito Benicalap. València Capital);3 habs.;2 baños;82 m²;Ideal inversionistas!!!!!!!!!!!!!Bonito piso  recien reformado con amplia terraza de 25m² . Junto avda. Peset aleixandre y parada ...;39.4905642;-0.3877406;1ª planta;;valencia
225.000 €;Casa en Carrer de Sant Vicent, 31;/comprar/casa-oliva_nucli_urba-33406017596_100500/;Nucli Urbà (Oliva);6 habs.;3 baños;433 m²;"Esta es sin duda una gran casa para una gran familia.
 En una de las mejores calles de oliva, situada en la parte peatonal de la c...";38.9214;-0.125216;;;valencia
225.000 €;Piso en calle Carrer de Mossèn Luis Arnau, nº 48;/comprar/piso-albal_centro_urbano-40026378303_101800/;Albal;3 habs.;2 baños;127 m²;Referencia del inmueble 7549 vivienda en albal. El piso se encuentra perfectamente comunicado con transportes públicos, y a pocos ...;39.3993;-0.407399;4ª planta;;valencia
149.100 €;Piso en Plaza Mediterrània;/comprar/piso-playa_de_gandia-35036436057_526681/;Playa de Gandia (Gandia);2 habs.;1 baño;76 m²;Piso turistico con licencia en puerto al lado de la playa de gandia-muy bien situado excelente oportunidad por la ubicacion del in...;38.9920578;-0.1611424;5ª planta;;valencia
230.000 €;Chalet adosado en Avinguda de Catalunya;/comprar/chalet_adosado-pucol_centre-31672610359_100900/;Centre (Puçol);4 habs.;3 baños;210 m²;Habitale presenta, preciosa casa adosada en perfecto estado para entrar a vivir. Consta de 3 alturas distribuidas en planta baja g...;39.623787459;-0.307403266;;;valencia
325.000 €;Chalet en Carrer Oronetes;/comprar/chalet-urbanizaciones_cumbres_de_calicanto_manyes_barbeta-44215692080_109300/;Urbanizaciones Cumbres de Calicanto-Manyes-Barbeta (Torrent);4 habs.;3 baños;279 m²;"Increíble chalet en venta en urbanización font de la teula, torrente

Este destacado inmueble ofrece una oportunidad única para ...";39.410004;-0.597769;;;valencia
1.050.000 €;Chalet en Los Monasterios-Alfinach;/comprar/chalet-los_monasterios_alfinach-95050627039_100500/;Los Monasterios-Alfinach (Puçol);5 habs.;4 baños;417 m²;"At home presenta este estupendo chalet unifamiliar con piscina, situado en la urbanización alfinach de puzol.
La vivienda está con...";39.628356252;-0.344942685;;;valencia
173.000 €;Piso en Avenida de Les Corts Valencianes,  104;/comprar/piso-albal_centro_urbano-3923007881_109700/;Albal;3 habs.;2 baños;99 m²;5º e. Piso en una finca de obra nueva de 99 m² de superficie construida y emplazado en la zona de albal, posicionado en planta 5. ...;39.3952183;-0.4055287;5ª planta;;valencia
750.000 €;Casa adosada en El Calvari;/comprar/casa_adosada-el_calvari46025-44169365404_108500/;El Calvari (Distrito Campanar. València Capital);5 habs.;3 baños;295 m²;Vendemos un excelente pareado esquinero ubicado en una antigua alqueria en la zona de nou benicalap. Este magnífico inmueble, que ...;39.4869911;-0.3883271;;;valencia
221.000 €;Piso en Plaza de La Libertad,  2;/comprar/piso-zona_del_riu46920-4506471120_109700/;Zona del Riu (Mislata);3 habs.;2 baños;88 m²;3 dormitorios con superficies entre 88 y 89 m² construidos, 59 m² útiles. Todas las viviendas tienen terrazas y dos garajes inclui...;39.4708;-0.424644;;;valencia
650.000 €;Piso en calle de María Cristina;/comprar/piso-el_mercat46001-33350330921_100500/;El Mercat (Distrito Ciutat Vella. València Capital);7 habs.;2 baños;210 m²;Grupo alain inmobiliaria vende vivienda  de 200 m² en el centro de valencia para reformar, su estado actual es el original. Está s...;39.4729768;-0.3775619;2ª planta;;valencia
599.000 €;Piso en calle del General San Martín;/comprar/piso-russafa46004-45071699677_992222/;Russafa (Distrito L'Eixample. València Capital);5 habs.;3 baños;233 m²;"Otra exclusiva de helice inmobiliaria…

En helice inmobiliaria tenemos lo que buscas: excepcional propiedad en la céntrica calle g...";39.4652124;-0.3748983;4ª planta;;valencia
796.000 €;Piso en calle del Hospital, 2;/comprar/piso-ciutat_vella_el_pilar46001-45050341554_992222/;El Pilar (Distrito Ciutat Vella. València Capital);7 habs.;3 baños;468 m²;"¡Atención inversores!

Helice inmobiliaria les presenta en exclusiva una oportunidad de inversión extraordinaria: un gimnasio en p...";39.471176;-0.38030177;1ª planta;;valencia
