"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","428186.258","4586032.479","428094.348","4585831.51","2.139522","41.420824","BUS -119--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430487.002","4585446.86","430395.071","4585245.896","2.167118","41.415753","BUS -114--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429826.04","4585083.626","429734.115","4584882.665","2.159253","41.412424","BUS -24-D40--","06","30","Gràcia","la Salut","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429583.628","4584884.24","429491.705","4584683.281","2.156376","41.410607","NITBUS -N0--","06","30","Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430200.992","4586087.81","430109.064","4585886.84","2.163622","41.421501","BUS -117--","07","36","Horta-Guinardó","la Font d'en Fargues","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430200.831","4586114.348","430108.903","4585913.378","2.163617","41.42174","BUS -117--","07","36","Horta-Guinardó","la Font d'en Fargues","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426331.759","4576502.9","426239.864","4576302.02","2.118492","41.334828","BUS -21--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425724.78","4576174.447","425632.89","4575973.57","2.111279","41.331814","BUS -21--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428314.644","4580352.048","428222.731","4580151.132","2.141731","41.369675","BUS -91-115--","03","16","Sants-Montjuïc","la Bordeta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428254.379","4585671.067","428162.468","4585470.101","2.14038","41.417575","BUS -123--","06","28","Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428299.429","4585198.965","428207.518","4584998.004","2.140975","41.413327","BUS -129--","06","28","Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429143.648","4585824.848","429051.729","4585623.881","2.151002","41.419039","BUS -129--","06","29","Gràcia","el Coll","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433238.241","4584638.973","433146.284","4584438.016","2.200125","41.40871","BUS -V27--","10","71","Sant Martí","Provençals del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","433238.241","4584638.973","433146.284","4584438.016","2.200125","41.40871","NITBUS -N8--","10","71","Sant Martí","Provençals del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428632.75","4582841.4","428540.835","4582640.461","2.145241","41.392124","BUS -141--","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427670.627","4585323.915","427578.722","4585122.953","2.133437","41.414396","BUS -196-V13-H2--","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432486.478","4589608.046","432394.53","4589407.043","2.190576","41.453401","BUS -127--","09","57","Sant Andreu","la Trinitat Vella","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425586.705","4583181.619","425494.818","4582980.677","2.108768","41.394912","BUS -113--","04","21","Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427074.248","4582509.408","426982.347","4582308.472","2.126641","41.388994","BUS -H6-V3--","04","21","Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424573.57","4585589.93","424481.693","4585388.966","2.09635","41.416507","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424575.257","4585583.362","424483.38","4585382.398","2.096371","41.416448","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429930.575","4586650.791","429838.649","4586449.816","2.160321","41.426547","BUS -19-102-87-H2-V23--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429580.022","4587869.527","429488.1","4587668.541","2.155984","41.437493","BUS -185--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431500.47","4580629.665","431408.528","4580428.745","2.17979","41.372453","BUS -V11--","01","01","Ciutat Vella","el Raval","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430917.977","4585118.416","430826.042","4584917.455","2.172312","41.412832","NITBUS -N0--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428157.255","4585417.993","428065.345","4585217.03","2.139248","41.415287","BUS -131--","06","28","Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428225.743","4585404.657","428133.833","4585203.694","2.140069","41.415173","BUS -131--","06","28","Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424706.468","4585807.277","424614.59","4585606.311","2.097913","41.418477","BUS -118-128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424467.828","4586485.058","424375.953","4586284.086","2.094973","41.424559","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424874.934","4586609.28","424783.055","4586408.307","2.099829","41.425716","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424570.875","4586661.743","424478.999","4586460.769","2.096184","41.42616","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430050.37","4586016.097","429958.443","4585815.128","2.161828","41.420842","BUS -22--","07","37","Horta-Guinardó","el Carmel","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430369.535","4588081.051","430277.606","4587880.063","2.165409","41.439467","NITBUS -N6--","08","48","Nou Barris","la Guineueta","",""
