CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K015,Transports i serveis relacionats,Autobusos nocturns,432374.314,4584164.837,2.19092,41.406185,NITBUS -N2--,10.0,66.0,Sant Martí,el Parc i la Llacuna del Poblenou
K014,Transports i serveis relacionats,Autobusos diürns,430954.142,4587762.214,2.17352,41.438464,BUS -47-76-H4-H2-M19-182--,8.0,48.0,Nou Barris,la Guineueta
K014,Transports i serveis relacionats,Autobusos diürns,431323.606,4588212.028,2.177891,41.442547,BUS -76-H2-D50--,8.0,51.0,Nou Barris,Verdun
K015,Transports i serveis relacionats,Autobusos nocturns,431323.606,4588212.028,2.177891,41.442547,NITBUS -N1--,8.0,51.0,Nou Barris,Verdun
K015,Transports i serveis relacionats,Autobusos nocturns,431416.02,4588486.836,2.178966,41.44503,NITBUS -N1--,8.0,51.0,Nou Barris,Verdun
K014,Transports i serveis relacionats,Autobusos diürns,431055.45,4588477.272,2.174651,41.444913,BUS -11-60-V29--,8.0,50.0,Nou Barris,les Roquetes
K014,Transports i serveis relacionats,Autobusos diürns,431295.044,4588582.69,2.177507,41.445883,BUS -11-60-127-V29--,8.0,50.0,Nou Barris,les Roquetes
K014,Transports i serveis relacionats,Autobusos diürns,429994.019,4585302.277,2.162313,41.416226,BUS -114--,7.0,34.0,Horta-Guinardó,Can Baró
K014,Transports i serveis relacionats,Autobusos diürns,429509.235,4584225.564,2.156639,41.406486,BUS -39--,6.0,31.0,Gràcia,la Vila de Gràcia
K014,Transports i serveis relacionats,Autobusos diürns,428094.348,4585831.51,2.139522,41.420824,BUS -119--,7.0,39.0,Horta-Guinardó,Sant Genís dels Agudells
K014,Transports i serveis relacionats,Autobusos diürns,430395.071,4585245.896,2.167118,41.415753,BUS -114--,7.0,35.0,Horta-Guinardó,el Guinardó
K014,Transports i serveis relacionats,Autobusos diürns,429734.115,4584882.665,2.159253,41.412424,BUS -24-D40--,6.0,30.0,Gràcia,la Salut
