DISTRITOS,EXPEDIENTES INSTRUIDOS,CONTACTOS CON CENTROS ESCOLARES,CON VICTIMAS,SIN VICTIMAS,EXPEDIENTES,PERSONAS DETENIDAS E INVESTIGADAS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS,PROPIEDAD INTELECTUAL E INDUSTRIAL,INFRACCIONES ALIMENTARIAS
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,6.0,17.0,38.0,47.0,16.0,30.0,3.0,4.0,0.0,10.0,0.0,13.0,2.0
TOTAL,88.0,189.0,829.0,1067.0,354.0,870.0,151.0,360.0,678.0,583.0,84.0,1655.0,88.0
USERA,0.0,7.0,33.0,50.0,29.0,27.0,5.0,4.0,0.0,2.0,0.0,8.0,15.0
VICÁLVARO,8.0,9.0,27.0,27.0,4.0,12.0,0.0,1.0,6.0,20.0,4.0,1.0,1.0
VILLA DE VALLECAS,2.0,2.0,23.0,29.0,12.0,16.0,9.0,24.0,4.0,7.0,2.0,1.0,0.0
VILLAVERDE,6.0,10.0,32.0,40.0,10.0,30.0,8.0,6.0,4.0,16.0,4.0,9.0,21.0
ARGANZUELA,0.0,8.0,38.0,48.0,23.0,12.0,2.0,6.0,0.0,5.0,1.0,3.0,1.0
BARAJAS,0.0,39.0,10.0,19.0,2.0,2.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0
CARABANCHEL,1.0,13.0,48.0,53.0,40.0,48.0,18.0,6.0,1.0,27.0,2.0,2.0,11.0
CENTRO,8.0,4.0,44.0,61.0,55.0,147.0,23.0,89.0,21.0,296.0,60.0,194.0,18.0
CHAMARTÍN,3.0,1.0,53.0,68.0,9.0,35.0,7.0,15.0,1.0,29.0,5.0,28.0,4.0
CHAMBERÍ,3.0,8.0,41.0,40.0,15.0,15.0,5.0,3.0,0.0,36.0,0.0,0.0,0.0
CIUDAD LINEAL,3.0,0.0,48.0,59.0,29.0,34.0,10.0,7.0,3.0,39.0,1.0,1.0,0.0
FUENCARRAL - EL PARDO,5.0,6.0,45.0,55.0,21.0,20.0,4.0,1.0,0.0,14.0,1.0,1.0,3.0
HORTALEZA,2.0,0.0,26.0,46.0,12.0,15.0,3.0,11.0,1.0,31.0,5.0,0.0,0.0
LATINA,1.0,12.0,33.0,48.0,30.0,31.0,9.0,5.0,2.0,23.0,3.0,2.0,17.0
MONCLOA - ARAVACA,0.0,0.0,23.0,39.0,20.0,11.0,4.0,6.0,0.0,7.0,3.0,0.0,1.0
MORATALAZ,1.0,2.0,16.0,24.0,6.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0
OTRAS UNIDADES,,,,,2.0,,,,,,,,
PUENTE DE VALLECAS,2.0,8.0,49.0,86.0,48.0,48.0,19.0,19.0,10.0,37.0,6.0,33.0,6.0
RETIRO,1.0,0.0,46.0,39.0,9.0,11.0,1.0,6.0,0.0,4.0,1.0,22.0,3.0
SALAMANCA,0.0,0.0,55.0,71.0,7.0,47.0,9.0,36.0,1.0,26.0,1.0,2.0,0.0
SAN BLAS - CANILLEJAS,6.0,25.0,37.0,50.0,16.0,10.0,2.0,17.0,0.0,11.0,3.0,1.0,5.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,2.0,19.0,43.0,45.0,22.0,30.0,17.0,15.0,4.0,10.0,0.0,15.0,10.0
TOTAL,50.0,180.0,726.0,981.0,430.0,569.0,157.0,291.0,52.0,625.0,97.0,324.0,83.0
USERA,0.0,0.0,26.0,46.0,20.0,18.0,5.0,5.0,0.0,9.0,2.0,4.0,1.0
VICÁLVARO,11.0,4.0,7.0,17.0,11.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0
VILLA DE VALLECAS,0.0,0.0,14.0,33.0,26.0,9.0,7.0,22.0,5.0,7.0,0.0,1.0,2.0
VILLAVERDE,1.0,31.0,24.0,34.0,7.0,15.0,6.0,6.0,0.0,11.0,1.0,14.0,1.0
ARGANZUELA,3.0,13.0,42.0,50.0,15.0,20.0,1.0,6.0,0.0,15.0,2.0,2.0,0.0
BARAJAS,1.0,24.0,21.0,17.0,3.0,6.0,7.0,5.0,0.0,5.0,0.0,0.0,1.0
CARABANCHEL,1.0,12.0,50.0,72.0,41.0,36.0,6.0,17.0,4.0,15.0,1.0,15.0,12.0
CENTRO,9.0,5.0,35.0,65.0,28.0,200.0,22.0,126.0,44.0,230.0,58.0,399.0,29.0
CHAMARTÍN,1.0,13.0,42.0,71.0,8.0,32.0,3.0,8.0,2.0,46.0,20.0,10.0,12.0
CHAMBERÍ,2.0,4.0,31.0,38.0,11.0,18.0,3.0,5.0,1.0,56.0,2.0,2.0,5.0
CIUDAD LINEAL,3.0,3.0,43.0,62.0,26.0,27.0,12.0,13.0,2.0,23.0,0.0,1.0,5.0
FUENCARRAL - EL PARDO,0.0,56.0,23.0,59.0,24.0,20.0,5.0,5.0,1.0,9.0,1.0,0.0,3.0
HORTALEZA,12.0,56.0,28.0,23.0,6.0,20.0,3.0,7.0,6.0,23.0,9.0,0.0,2.0
LATINA,3.0,32.0,42.0,39.0,15.0,33.0,9.0,11.0,4.0,13.0,4.0,5.0,13.0
MONCLOA - ARAVACA,2.0,17.0,41.0,41.0,11.0,14.0,8.0,10.0,0.0,12.0,2.0,2.0,1.0
MORATALAZ,1.0,23.0,15.0,34.0,5.0,10.0,7.0,3.0,1.0,7.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,14.0,,,,,,,,
PUENTE DE VALLECAS,18.0,13.0,40.0,61.0,41.0,69.0,19.0,22.0,2.0,42.0,1.0,4.0,10.0
RETIRO,1.0,19.0,30.0,39.0,8.0,9.0,4.0,9.0,2.0,1.0,2.0,25.0,3.0
SALAMANCA,4.0,5.0,55.0,62.0,13.0,64.0,1.0,46.0,2.0,8.0,3.0,28.0,0.0
SAN BLAS - CANILLEJAS,6.0,30.0,32.0,50.0,17.0,15.0,5.0,12.0,2.0,14.0,1.0,1.0,2.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,6.0,16.0,31.0,51.0,17.0,30.0,6.0,18.0,4.0,7.0,1.0,1.0,0.0
TOTAL,93.0,401.0,685.0,956.0,371.0,699.0,138.0,343.0,92.0,578.0,114.0,505.0,138.0
USERA,5.0,7.0,26.0,44.0,39.0,19.0,4.0,5.0,3.0,8.0,2.0,0.0,24.0
VICÁLVARO,5.0,11.0,16.0,13.0,8.0,6.0,2.0,3.0,3.0,8.0,0.0,0.0,0.0
VILLA DE VALLECAS,6.0,8.0,22.0,25.0,15.0,29.0,6.0,9.0,7.0,14.0,1.0,0.0,1.0
VILLAVERDE,4.0,34.0,20.0,40.0,6.0,22.0,5.0,3.0,2.0,22.0,3.0,10.0,15.0
"* DATOS INCOMPLETOS POR CAMBIO DE APLICACIÓN, DE SACPM A GEDIE,",,,,,,,,,,,,,
ARGANZUELA,0.0,6.0,40.0,50.0,0.0,21.0,0.0,2.0,0.0,13.0,2.0,4.0,3.0
BARAJAS,0.0,41.0,7.0,25.0,0.0,6.0,0.0,3.0,1.0,2.0,4.0,0.0,1.0
CARABANCHEL,1.0,9.0,42.0,78.0,1.0,42.0,6.0,13.0,1.0,32.0,7.0,11.0,8.0
CENTRO,27.0,9.0,37.0,59.0,8.0,116.0,28.0,93.0,10.0,273.0,48.0,140.0,57.0
CHAMARTÍN,1.0,7.0,41.0,59.0,3.0,20.0,3.0,4.0,0.0,58.0,26.0,29.0,5.0
CHAMBERÍ,2.0,10.0,43.0,33.0,2.0,23.0,7.0,13.0,2.0,34.0,2.0,0.0,1.0
CIUDAD LINEAL,1.0,2.0,42.0,54.0,1.0,45.0,8.0,13.0,0.0,49.0,1.0,0.0,4.0
FUENCARRAL - EL PARDO,1.0,1.0,34.0,60.0,1.0,24.0,5.0,3.0,1.0,20.0,1.0,1.0,1.0
HORTALEZA,0.0,2.0,29.0,35.0,3.0,16.0,2.0,7.0,1.0,32.0,4.0,3.0,4.0
LATINA,5.0,14.0,22.0,47.0,4.0,51.0,12.0,9.0,5.0,33.0,2.0,4.0,38.0
MONCLOA - ARAVACA,0.0,0.0,30.0,56.0,0.0,16.0,2.0,8.0,2.0,6.0,1.0,2.0,1.0
MORATALAZ,0.0,8.0,18.0,17.0,2.0,8.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0
NO TENIENDO ESTA ÚLTIMA EXPLOTACIÓN TODAVÍA,,,,,,,,,,,,,
OTRAS COMISARÍAS,,,,,2.0,,,,,,,,
PUENTE DE VALLECAS,4.0,52.0,50.0,62.0,0.0,74.0,29.0,21.0,6.0,80.0,3.0,35.0,7.0
RETIRO,0.0,5.0,32.0,54.0,0.0,7.0,4.0,2.0,1.0,7.0,1.0,9.0,1.0
SALAMANCA,0.0,0.0,51.0,38.0,0.0,55.0,3.0,36.0,0.0,11.0,0.0,0.0,0.0
SAN BLAS - CANILLEJAS,5.0,42.0,30.0,42.0,2.0,14.0,6.0,12.0,4.0,21.0,0.0,1.0,15.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,3.0,19.0,39.0,27.0,1.0,31.0,11.0,7.0,1.0,14.0,1.0,15.0,1.0
TOTAL,58.0,245.0,662.0,912.0,31.0,637.0,153.0,289.0,38.0,713.0,114.0,284.0,200.0
USERA,0.0,0.0,24.0,41.0,0.0,17.0,9.0,7.0,1.0,6.0,3.0,7.0,42.0
VICÁLVARO,6.0,4.0,15.0,20.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
VILLA DE VALLECAS,0.0,0.0,20.0,20.0,0.0,19.0,4.0,13.0,0.0,6.0,4.0,3.0,6.0
VILLAVERDE,2.0,14.0,16.0,35.0,1.0,28.0,10.0,10.0,1.0,12.0,3.0,20.0,5.0
ARGANZUELA,0.0,9.0,30.0,50.0,13.0,21.0,7.0,6.0,1.0,12.0,0.0,11.0,1.0
BARAJAS,0.0,30.0,8.0,24.0,3.0,11.0,3.0,2.0,0.0,27.0,2.0,0.0,4.0
CARABANCHEL,1.0,8.0,39.0,56.0,43.0,44.0,12.0,13.0,5.0,27.0,7.0,3.0,56.0
CENTRO,12.0,5.0,47.0,62.0,45.0,190.0,29.0,112.0,0.0,198.0,111.0,140.0,16.0
CHAMARTÍN,0.0,24.0,45.0,58.0,50.0,20.0,5.0,7.0,1.0,36.0,43.0,26.0,13.0
CHAMBERÍ,1.0,7.0,42.0,48.0,15.0,22.0,3.0,4.0,2.0,49.0,5.0,1.0,7.0
CIUDAD LINEAL,0.0,2.0,40.0,66.0,21.0,31.0,7.0,13.0,2.0,17.0,1.0,0.0,1.0
FUENCARRAL - EL PARDO,1.0,52.0,39.0,66.0,21.0,25.0,5.0,6.0,0.0,11.0,1.0,2.0,3.0
HORTALEZA,7.0,81.0,19.0,36.0,5.0,32.0,1.0,5.0,3.0,17.0,4.0,1.0,0.0
LATINA,16.0,9.0,32.0,46.0,31.0,36.0,7.0,10.0,1.0,21.0,1.0,1.0,29.0
MONCLOA - ARAVACA,4.0,10.0,32.0,62.0,8.0,17.0,2.0,7.0,0.0,15.0,0.0,0.0,8.0
MORATALAZ,6.0,45.0,18.0,19.0,3.0,11.0,1.0,5.0,1.0,9.0,0.0,0.0,0.0
OTRAS COMISARÍAS,,,,,16.0,,,,,,,,
PUENTE DE VALLECAS,15.0,26.0,44.0,68.0,31.0,86.0,17.0,24.0,8.0,68.0,10.0,9.0,7.0
RETIRO,7.0,30.0,51.0,43.0,5.0,7.0,2.0,6.0,0.0,6.0,2.0,14.0,0.0
SALAMANCA,2.0,3.0,58.0,57.0,10.0,55.0,4.0,44.0,1.0,18.0,1.0,3.0,1.0
SAN BLAS - CANILLEJAS,16.0,33.0,37.0,35.0,24.0,24.0,10.0,17.0,5.0,11.0,2.0,0.0,25.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,3.0,16.0,46.0,43.0,15.0,34.0,1.0,6.0,1.0,11.0,0.0,6.0,2.0
TOTAL,124.0,492.0,705.0,953.0,438.0,733.0,135.0,324.0,38.0,594.0,193.0,232.0,229.0
USERA,6.0,9.0,26.0,44.0,42.0,17.0,3.0,7.0,3.0,4.0,3.0,4.0,17.0
VICÁLVARO,4.0,1.0,14.0,19.0,8.0,8.0,1.0,3.0,2.0,15.0,0.0,0.0,0.0
VILLA DE VALLECAS,7.0,13.0,13.0,21.0,17.0,17.0,7.0,15.0,1.0,10.0,0.0,0.0,1.0
VILLAVERDE,16.0,79.0,25.0,30.0,12.0,25.0,8.0,12.0,1.0,12.0,0.0,11.0,38.0
ARGANZUELA,1.0,1.0,31.0,38.0,23.0,16.0,3.0,4.0,2.0,9.0,2.0,4.0,3.0
BARAJAS,0.0,9.0,21.0,23.0,3.0,6.0,3.0,6.0,0.0,6.0,1.0,0.0,1.0
CARABANCHEL,0.0,0.0,50.0,55.0,55.0,43.0,26.0,20.0,2.0,18.0,2.0,6.0,7.0
CENTRO,21.0,1.0,72.0,68.0,57.0,155.0,17.0,75.0,18.0,178.0,25.0,109.0,92.0
CHAMARTÍN,0.0,0.0,44.0,68.0,12.0,9.0,1.0,7.0,1.0,29.0,2.0,3.0,0.0
CHAMBERÍ,3.0,2.0,28.0,33.0,15.0,13.0,4.0,3.0,0.0,15.0,0.0,0.0,8.0
CIUDAD LINEAL,2.0,0.0,51.0,55.0,19.0,31.0,7.0,1.0,0.0,28.0,0.0,0.0,2.0
FUENCARRAL - EL PARDO,1.0,8.0,39.0,55.0,24.0,18.0,2.0,3.0,1.0,16.0,2.0,1.0,2.0
HORTALEZA,5.0,0.0,33.0,42.0,20.0,23.0,2.0,4.0,2.0,19.0,5.0,1.0,1.0
LATINA,10.0,0.0,38.0,50.0,24.0,43.0,14.0,12.0,2.0,11.0,1.0,1.0,13.0
MONCLOA - ARAVACA,1.0,4.0,53.0,45.0,8.0,15.0,4.0,4.0,1.0,12.0,5.0,3.0,8.0
