precio,sub_descr,href,ubicacion,habitaciones,banios,mt2,otros,publicado_hace,plataforma,CCAA,fuente_datos,alquiler_venta,fecha_extract,latitude,longitude,planta
235000.0,Dúplex en Tetuán,/comprar/duplex-valdezarza28039-42538476118_102100/,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1.0,1.0,50.0,"Gilmar consulting inmobiliario castellana-orense, vende en bellas vistas, espectacular dúplex de un dormitorio, salón, cocina y ba...",,,madrid,pisos.com,venta,2024-06-30,40.4611202,-3.7038552,
157500.0,"Piso en Galapagar, Zona de - Casco Antiguo",/comprar/piso-galapagar_centro-45003224808_104700/,Centro (Galapagar),2.0,,71.0,"Redpiso galapagar les ofrece en exclusiva este piso en planta de 71m².

Vivienda en perfecto estado, distribuida en hall de entrad...",,,madrid,pisos.com,venta,2024-06-30,40.5760621,-4.0043611,
1129000.0,Piso en calle de Alberto Bosch,/comprar/piso-jeronimos28014-40883366113_101800/,Jerónimos (Distrito Retiro. Madrid Capital),3.0,3.0,98.0,"Walter haus tiene el placer de presentar esta propiedad excepcional, un piso interior situado en el corazón del prestigioso barrio...",,,madrid,pisos.com,venta,2024-06-30,40.413541,-3.6892658,2.0
640000.0,Piso en calle Picasso,/comprar/piso-somosaguas_humera_los_angeles28223-45051537580_500635/,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),3.0,2.0,188.0,"Luxcasa les ofrece sin honorarios añadidos, estupenda vivienda con muchas mejoras de tres dormitorios, con 2 plazas de garaje y tr...",,,madrid,pisos.com,venta,2024-06-30,40.4099506,-3.7846922,1.0
375000.0,Chalet en Brunete,/comprar/chalet-brunete_centro_urbano-34231114814_501235/,Brunete,3.0,2.0,230.0,Brem global inmobiliaria presenta finca rústica de grandes dimensiones con todas las comodidades en brunete pueblo a 28 km de madr...,,,madrid,pisos.com,venta,2024-06-30,40.4049454,-3.9971307,
540000.0,Chalet en Cobeña,/comprar/chalet-cobena_centro_urbano-31719568352_100500/,Cobeña,4.0,3.0,300.0,"Espectacular chalet adosado de esquina con 300m² construidos, 4 dormitorios dobles, 213m² de jardín que rodean la vivienda por sus...",,,madrid,pisos.com,venta,2024-06-30,40.5698975,-3.510289,
270000.0,Piso en Zona Puerto,/comprar/piso-zona_puerto28821-44260037724_100200/,Zona Puerto (Coslada),3.0,,123.0,"Agencia inmobiliaria de coslada zona coslada pueblo, barrio del puerto tecnocasa estudio nuevo coslada pueblo
Piso en venta: ¡Pres...",,,madrid,pisos.com,venta,2024-06-30,40.417592,-3.5733166,
125000.0,Apartamento en calle de la Primavera,/comprar/apartamento-alpedrete_centro_urbano-39170139439_516839/,Alpedrete,1.0,1.0,47.0,"Precioso apartamento,  totalmente reformado edifico feijoo,  bonitas vistas, luminoso, con gran ventanal a zona rústica y montañ...",,,madrid,pisos.com,venta,2024-06-30,40.6546744,-4.0228819,1.0
320000.0,Piso en calle de Azcona,/comprar/piso-guindalera28028-45077480141_440000/,Guindalera (Distrito Salamanca. Madrid Capital),2.0,2.0,94.0,"¡Oportunidad única en venta! 

Este amplio y versátil local de 93m², con posibilidad de cambio de uso a una vivienda de 2 dormitor...",,,madrid,pisos.com,venta,2024-06-30,40.4348627,-3.6679849,
965000.0,Piso en Plaza de Valparaíso,/comprar/piso-castilla28016-31713777328_440000/,Castilla (Distrito Chamartín. Madrid Capital),3.0,3.0,145.0,Impresionante vivienda en planta alta con vistas despejadas al parque valparaíso.  Cabe destacar que en origen eran dos viviendas ...,,,madrid,pisos.com,venta,2024-06-30,40.4547644,-3.6807607,4.0
300000.0,"Ático en calle de Getafe, 12",/comprar/atico-centro_arroyo_la_fuente28944-3765039849_109700/,Centro-Arroyo-La Fuente (Fuenlabrada),2.0,2.0,95.0,"Portal 2, ático a. Ático en un edificio de obra nueva de 95 m² de superficie construida y ubicado en la zona de fuenlabrada, encla...",,,madrid,pisos.com,venta,2024-06-30,40.28231,-3.7889,
395000.0,Casa en calle de Jaén,/comprar/casa-colmenar_viejo_fuente_santa-35931099247_501223/,Fuente Santa (Colmenar Viejo),5.0,4.0,230.0,"Cruzasociados vende

Chalet pareado de esquina en la urbanización fuente santa. Vivienda de 230 metros según consta en escritura p...",,,madrid,pisos.com,venta,2024-06-30,40.6712001,-3.7815991,
179000.0,Dúplex en La Cabrera,/comprar/duplex-la_cabrera_centro_urbano-35007708011_501235/,La Cabrera,2.0,2.0,91.0,"Brem global inmobiliaria presenta amplio y luminoso dúplex construido en primeras calidades en el año 2006, situado en el casco ur...",,,madrid,pisos.com,venta,2024-06-30,40.8645377,-3.6159611,1.0
875000.0,Dúplex en Majadahonda,/comprar/duplex-majadahonda_zona_norte28220-39180790947_102100/,Zona Norte (Majadahonda),3.0,3.0,154.0,"Gilmar de majadahonda les presenta esta impresionante vivienda de lujo en la prestigiosa urbanización pinnea, en majadahonda. Esta...",,,madrid,pisos.com,venta,2024-06-30,40.465741032,-3.879546528,
995000.0,"Piso en Plaza de los Reyes Magos, 11",/comprar/piso-nino_jesus28007-45032395516_510067/,Niño Jesús (Distrito Retiro. Madrid Capital),4.0,3.0,181.0,"Proyectos inmobiliarios baupres le ofrece una oportunidad única en madrid, en el barrio niño jesús, a escasos 100 m de la puerta d...",,,madrid,pisos.com,venta,2024-06-30,40.408802,-3.6767056,4.0
1150000.0,Piso en Piovera,/comprar/piso-valdeacederas28029-42536675778_102100/,Valdeacederas (Distrito Tetuán. Madrid Capital),4.0,4.0,196.0,"Gilmar consulting inmobiliario madrid, conde orgaz-campo de las naciones, comercializa en conde orgaz, campo de las naciones esta ...",,,madrid,pisos.com,venta,2024-06-30,40.4649197,-3.6818533,
350000.0,Piso en calle del Conde de Peñalver,/comprar/piso-lista_barrio28006-27523009171_100500/,Lista (Distrito Salamanca. Madrid Capital),1.0,1.0,44.0,"Agencia inmobiliaria ds realtors te ofrece este piso a estrenar, situado en una de las mejores zonas de madrid, en la calle conde ...",,,madrid,pisos.com,venta,2024-06-30,40.4290454,-3.6755903,2.0
