precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios
4.500 €/mes;Piso en calle Lagasca;/alquilar/piso-recoletos28001-42555021596_100500/;Recoletos (Distrito Salamanca. Madrid Capital);4 habs.;233 m²;2ª planta;"Diza consultores les presenta una vivienda en pleno corazón del barrio de salamanca.

Es un edificio rehabilitado y muy cuidado, c...";40.4262136;-3.6854256;4 baños
2.090 €/mes;Piso en Retiro;/alquilar/piso-nino_jesus28009-41763884350_101000/;Niño Jesús (Distrito Retiro. Madrid Capital);4 habs.;140 m²;;"Alfa doctor esquerdo ofrece esta amplia y singular vivienda en la zona de retiro, (retiro 2)
Vivienda totalmente exterior que cuen...";40.4161662;-3.6722933;3 baños
4.900 €/mes;Dúplex en calle de Villalar;/alquilar/duplex-recoletos28001-15065560922_996542/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;140 m²;5ª planta;"Diplomatic real estate s. L. Ofrece dúplex con exquisita decoración y mobiliario a un paso de puerta de alcalá. Máximo 11 meses.
 ...";40.4214364;-3.6898192;2 baños
930 €/mes;Piso en calle de Julián Besteiro;/alquilar/piso-castillejos28020-43430977751_527060/;Castillejos (Distrito Tetuán. Madrid Capital);1 hab.;60 m²;Principal;"Alquiler de estupenda vivienda en distrito de tetuán,

Distribuido en 1 habitación, 1 baño con bañera, salón comedor, cocina indep...";40.4586984;-3.6948356;1 baño
2.300 €/mes;Piso en calle de Hernán Cortés;/alquilar/piso-justicia_chueca28004-43338697756_518589/;Justicia-Chueca (Distrito Centro. Madrid Capital);3 habs.;124 m²;3ª planta;"Ideal para compartir!
Disponible a partir del día 1 de mayo de 2024

Alquiler de temporada
Vivienda y características
Situada en l...";40.4234391;-3.7001509;1 baño
800 €/mes;Piso en calle de Malcampo;/alquilar/piso-chamartin_ciudad_jardin28002-34249047806_100200/;Ciudad Jardín (Distrito Chamartín. Madrid Capital);1 hab.;30 m²;;"Agencia inmobiliaria de madrid - chamartín - ciudad jardín, prosperidad - zona auditorio - tecnocasa .
A partir del 25 de febrero
...";40.4456854;-3.6739153;1 baño
1.250 €/mes;Piso en calle de Miami;/alquilar/piso-san_blas_salvador28027-43336315740_100500/;Salvador (Distrito San Blas. Madrid Capital);2 habs.;77 m²;1ª planta;Vohome propiedades suanzes/salvador/simancas alquila piso en primera planta con ascensor en zona muy tranquila en el  barrio salva...;40.4405681;-3.6297432;2 baños
9.450 €/mes;Piso en El Viso;/alquilar/piso-fuencarral_el_pardo_valverde28046-40925589747_102100/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);6 habs.;576 m²;;Gilmar consulting inmobiliario pone a su disposición este excepcional piso en el viso  descubre la comodidad y el lujo en este mag...;40.4842607;-3.6852766;5 baños
1.500 €/mes;Piso en Pueblo Nuevo;/alquilar/piso-ciudad_lineal_pueblo_nuevo28017-42529115393_100200/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);2 habs.;132 m²;;Tecnocasa inmobiliaria garcía noblejas-barrio bilbao alquila fantástico piso con las ultimas calidades, cuenta con 2 amplios dormi...;40.42652;-3.6330673;2 baños
975 €/mes;Piso en Hortaleza;/alquilar/piso-pinar_del_rey28033-43373019819_108900/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);2 habs.;69 m²;1ª planta;Estupendo piso reformado de 69 m² completamente reformado. Compuesto por 2 habitaciones, amplio salón independiente, cocina amuebl...;40.4752924;-3.6435765;1 baño
