precio;sub_descr;href;ubicacion;mt2;planta;otros;latitude;longitude;habitaciones;banios
188.000 €;Piso en calle del El Toboso, 105;/comprar/piso-carabanchel_san_isidro28019-3825287830_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);51 m²;3ª planta;V06, 3º B. Piso en un edificio de obra nueva de 51 m2 de superficie construida y ubicado en la zona de Madrid Capital, enclavado en planta 3. Está distribuido en 1 habitación y 1 baño . Incluye extras como ascensor, garaje.;40,3931731;-3,7350976;1 hab.;
134.900 €;Loft en calle de Francisca Calonge;/comprar/loft-valdeacederas28029-40842290886_517167/;Valdeacederas (Distrito Tetuán. Madrid Capital);42 m²;;"Loft reformado en la zona de vadeacederas.

Vivienda madrid ofrece en exclusiva loft de 42 m² en dos plantas completamente reforma...";40.4681562;-3.7035202;1 hab.;1 baño
1.349.000 €;Piso en Paseo de la Castellana;/comprar/piso-castillejos28046-37550703101_100500/;Castillejos (Distrito Tetuán. Madrid Capital);137 m²;9ª planta;Casas castelló vende este impresionante inmueble actualmente en obras, situado en la novena planta de paseo de la castellana. Cons...;40.4585677;-3.6914164;3 habs.;4 baños
139.900 €;Piso en calle de Isabelita Usera;/comprar/piso-usera_pradolongo28026-35854427527_998146/;Pradolongo (Distrito Usera. Madrid Capital);62 m²;3ª planta;"Vivienda con ascensor

La vivienda se distribuye es salón, cocina amueblada, 2 dormitorios, 1 baño y una terraza cerrada.

Calefac...";40.3800008;-3.7070594;2 habs.;1 baño
590.000 €;Piso en calle del Príncipe de Vergara;/comprar/piso-salamanca_castellana-41687453930_996542/;Castellana (Distrito Salamanca. Madrid Capital);65 m²;1ª planta;"Diplomatic real estate ofrece piso en el barrio de salamanca a reformar.
Techos altos y luminoso.
Salón comedor-
3 habitaciones y ...";40.429673078;-3.679680729;2 habs.;2 baños
1.199.000 €;Piso en calle de Manuela Malasaña;/comprar/piso-universidad_malasana28004-40838662845_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);134 m²;2ª planta;Walter haus presenta esta preciosa vivienda a estrenar en la calle manuela malasaña, totalmente reformada y ubicada en una de las ...;40.4285341;-3.7023981;3 habs.;3 baños
445.000 €;Estudio en El Viso;/comprar/estudio-chamartin_hispanoamerica28036-4203142671_102200/;Hispanoamérica (Distrito Chamartín. Madrid Capital);51 m²;;"Estudio recién reformado en paseo de la habana con portero físico.

Si quiere ver más inmuebles en esta zona visítenos en inmuga.c...";40.4575951;-3.6813166;1 hab.;1 baño
569.000 €;Apartamento en Lista;/comprar/apartamento-chamartin_prosperidad28006-40924113933_102100/;Prosperidad (Distrito Chamartín. Madrid Capital);46 m²;;Precioso apartamento a estrenar en edificio con piscina y gran azotea.   Se encuentra en la calle maldonado en finca espectacular ...;40.4358216;-3.6867996;1 hab.;1 baño
3.650.000 €;Piso en calle de Génova;/comprar/piso-justicia_chueca28004-39241762587_102200/;Justicia-Chueca (Distrito Centro. Madrid Capital);304 m²;5ª planta;"Génova-chamberí-trafalgar.

Piso  único, situado en una de las zonas más cotizadas del barrio de almagro. La finca se ubica en la ...";40.4262756;-3.6926125;4 habs.;3 baños
189.000 €;Loft en Embajadores;/comprar/loft-centro_embajadores_lavapies28005-13379694510_105100/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);57 m²;;Vivienda2 vende local habilitado como apartamento de unos 57 m² construidos, con gran salón, cocina americana y wc completo con du...;40.4085666;-3.7053904;1 hab.;1 baño
770.000 €;Piso en calle de Palafox;/comprar/piso-trafalgar28010-26691783742_996542/;Trafalgar (Distrito Chamberí. Madrid Capital);100 m²;2ª planta;"Diplomatic real estate vende vivienda exterior, luminosa en edificio clásico que data de 1962. 
La distribución de la vivienda es ...";40.4306732;-3.7008779;4 habs.;2 baños
1.198.000 €;Piso en Recoletos;/comprar/piso-recoletos28009-42562920688_105100/;Recoletos (Distrito Salamanca. Madrid Capital);98 m²;4ª planta;"¡Increíble oportunidad de inversión en el barrio de salamanca!
 
 Ubicado en la prestigiosa calle alcalá, frente al icónico parque...";40.4220809;-3.6813777;2 habs.;2 baños
389.000 €;Piso en Sol;/comprar/piso-sol_barrio28013-39259254316_108500/;Sol (Distrito Centro. Madrid Capital);69 m²;;Grupo gm ofrece en venta precioso piso muy luminoso, recién reformado en una quinta planta con ascensor. Este inmueble ubicado en ...;40.418392;-3.7001599;2 habs.;2 baños
950.000 €;Ático en calle de García de Paredes;/comprar/atico-trafalgar28010-41756335767_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);80 m²;;Se vende este precioso atico a estrenar, situado en la ultima planta de una finca señorial. La vivienda es exterior y muy luminosa...;40.4367941;-3.6968036;2 habs.;1 baño
650.000 €;Piso en calle de la Costa Brava;/comprar/piso-mirasierra_arroyo_del_fresno28034-40038703060_100500/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);124 m²;1ª planta;Si buscas una vivienda amplia, luminosa y a un precio inmejorable, en un barrio residencial de los auténtico de madrid ¡Acabas de ...;40.4968072;-3.712539;3 habs.;2 baños
1.050.000 €;Piso en Guindalera;/comprar/piso-chamartin_el_viso28002-41750494221_102100/;El Viso (Distrito Chamartín. Madrid Capital);259 m²;;Gilmar consulting inmobiliario tiene el placer de presentarles esta vivienda en altura ubicada en el exclusivo barrio de guindaler...;40.4514408;-3.6812642;6 habs.;4 baños
290.000 €;Piso en Trafalgar;/comprar/piso-trafalgar28010-37556050314_106700/;Trafalgar (Distrito Chamberí. Madrid Capital);54 m²;;"Exclusiva vivienda en chamberí/ trafalgar, madrid: única y con encanto.

¿Buscas una vivienda única en una de las zonas más autént...";40.4342114;-3.6986378;1 hab.;2 baños
