precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
124.450 €;Piso en Pueblo Nuevo;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-21734515132_108900/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);3 habs.;1 baño;68 m²;Bajo;Auriga real estate ofrece oportunidad de vivienda completamente exterior de 3 dormitorios, salon, cocina y baño todo independiente...;40.43324526430599;-3.640938210638605
240.000 €;Piso en Canillas;/comprar/piso-hortaleza_canillas28043-38432329300_100200/;Canillas (Distrito Hortaleza. Madrid Capital);2 habs.;1 baño;73 m²;;"Agencia tecnocasa de la zona canillas - villa rosa vende. Séptima planta con orientación oeste. 
2 dormitorios grandes
1 baño comp...";40.4641726;-3.6341247
1.575.000 €;Ático en Justicia-Chueca;/comprar/atico-justicia_chueca28004-32588914256_149200/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;2 baños;189 m²;;"Única inmobiliaria pone a su disposición magnífico ático reformado en una de las mejores calles del barrio de justicia.
El inmuebl...";40.4233518;-3.6950821
1.850.000 €;Chalet pareado en Hispanoamérica;/comprar/chalet_pareado-nueva_espana28016-39200075586_102100/;Nueva España (Distrito Chamartín. Madrid Capital);4 habs.;4 baños;250 m²;;Gilmar viso chamartin presenta este chalet pareado de 250 m², ubicado en una parcela de 176 m², que ofrece un estilo de vida incom...;40.4588417;-3.6676
675.000 €;Chalet en Peñagrande;/comprar/chalet-ciudad_universitaria28035-26673505607_102100/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);6 habs.;3 baños;195 m²;;Gilmar mirasierra - puerta de hierro le presenta esta perfecta parcela de 435m² sobre la que se halla edificada una vivienda unifa...;40.480291;-3.7348356
379.000 €;Piso en calle de Bravo Murillo;/comprar/piso-tetuan_cuatro_caminos28020-39227894293_102200/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;60 m²;3ª planta;"Castillejos.

Calle bravo murillo, piso de 60 metros escriturados.

El piso es semiexterior con 2 ventanas a la calle, muy luminos...";40.4501975;-3.7032919
2.200.000 €;Piso en calle de Velázquez;/comprar/piso-chamartin_el_viso28006-38393961835_996542/;El Viso (Distrito Chamartín. Madrid Capital);4 habs.;4 baños;232 m²;1ª planta;"Diplomatic real estate ofrece magnifico piso en portal de lujo en edificio de 2002.
Amplio salón de 40 m². , y comedor independien...";40.4406694;-3.6831065
1.420.000 €;Chalet pareado en Hispanoamérica;/comprar/chalet_pareado-chamartin_hispanoamerica28016-36710663941_149200/;Hispanoamérica (Distrito Chamartín. Madrid Capital);5 habs.;2 baños;185 m²;;"Unica inmobiliaria chamartín ofrece este estupendo chalet pareado con enormes posibilidades en una ubicación extraordinaria. 
Se t...";40.4563585;-3.668169
459.000 €;Piso en calle de Ruiz Perelló;/comprar/piso-guindalera28028-38419882396_100500/;Guindalera (Distrito Salamanca. Madrid Capital);3 habs.;2 baños;90 m²;2ª planta;Agencia inmobiliaria ds realtors le ofrece, sin honorarios de agencia, esta fantástica vivienda en el corazón de guindalera en dis...;40.4302979;-3.6655074
225.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-39205965533_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);3 habs.;1 baño;86 m²;2ª planta;"Agencia inmobiliaria de madrid zona parque santa maria – pinar del rey – hortaleza tecnocasa,
Vende:
Estupenda vivienda en segunda...";40.476262847;-3.639360593
