precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
1.299.000 €;Piso en calle de la Montera;/comprar/piso-sol_barrio28013-39179074040_100500/;Sol (Distrito Centro. Madrid Capital);4 habs.;4 baños;193 m²;"Madrid village soluciones inmobiliarias ofrece este magnífico piso exterior con ascensor, junto a la puerta del sol.
Se trata de u...";40.4176738;-3.7026937;4ª planta
151.000 €;Dúplex en calle de los Cocheros;/comprar/duplex-usera_pradolongo28026-40072654850_510708/;Pradolongo (Distrito Usera. Madrid Capital);2 habs.;1 baño;69 m²;Superficie total 69 m², dúplex superficie útil 55 m², hab. Individuales: 2, 1 baño, antigüedad entre 30 y 50 años, armarios empotr...;40.3837639;-3.7098819;Bajo
1.845.000 €;Apartamento en Ríos Rosas;/comprar/apartamento-rios_rosas28003-38372339370_106200/;Ríos Rosas (Distrito Chamberí. Madrid Capital);3 habs.;4 baños;231 m²;Lucas fox presenta esta espectacular vivienda en el prestigioso distrito de chamberí en una calle tranquila cerca de la calle zurb...;40.4391327;-3.6926769;
1.449.000 €;Apartamento en Castillejos;/comprar/apartamento-castillejos28046-38426242423_106200/;Castillejos (Distrito Tetuán. Madrid Capital);3 habs.;3 baños;201 m²;Lucas fox ofrece este maravilloso piso de 201 m² construidos catastrales, recién reformado, que se entregará completamente amuebla...;40.4574168;-3.6907946;
2.815.000 €;Chalet pareado en Mirasierra;/comprar/chalet_pareado-fuencarral_el_pardo_valverde28034-39200296160_102100/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);6 habs.;7 baños;565 m²;Chalet pareado con 6 habitaciones y 7 baños, superficie util de 565 metros cuadrados, superficie solar 750, superficie construida ...;40.489731913;-3.699867167;
129.900 €;Piso en calle de Castro de Oro;/comprar/piso-opanel28019-34249270628_101800/;Opañel (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;56 m²;"Urban vende! Zona opañel - 2 dormitorios -baño- reformada la vivienda.
El piso consta de 2 habitaciones, salón-comedor, cocina ind...";40.3892969;-3.7287267;
245.000 €;Piso en Almendrales;/comprar/piso-almendrales28026-39266562107_100200/;Almendrales (Distrito Usera. Madrid Capital);2 habs.;1 baño;68 m²;"'agencia inmobiliaria de madrid - zona usera – antonio lopez - almendrales'
Vende piso ubicado en calle antonio lópez: piso exteri...";40.3861267;-3.6973891;3ª planta
790.000 €;Piso en calle de Arroyofresno;/comprar/piso-fuentelarreina28035-29210296186_513149/;Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital);4 habs.;4 baños;266 m²;"No cobramos honorarios al comprador
Magnífica vivienda de lujo, señorial y emblemática con excelente ubicación en la zona residenc...";40.4772539;-3.7418303;5ª planta
1.150.000 €;Piso en calle de Manuela Malasaña, 9;/comprar/piso-universidad_malasana28004-40877278191_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;3 baños;133 m²;Ifrala inmobiliaria, vende  este piso exterior, con una reforma integral, cuidando cada detalle, con todo nuevo a estrenar. Es un ...;40.4285;-3.70306;1ª planta
470.000 €;Piso en calle de Velázquez;/comprar/piso-salamanca_castellana28006-31704068742_101800/;Castellana (Distrito Salamanca. Madrid Capital);1 hab.;1 baño;56 m²;"Piso en venta en castellana

Vivienda donde todas las estancias tienen una o varias ventanas (puente térmico).  La vivienda que se...";40.4368476;-3.6828955;3ª planta
3.000.000 €;Piso en calle de Espalter;/comprar/piso-jeronimos28014-39205289325_101800/;Jerónimos (Distrito Retiro. Madrid Capital);3 habs.;4 baños;275 m²;Te presentamos este exclusivo piso en venta en la prestigiosa calle espalter, ubicada en el barrio de jerónimos. Este inmueble for...;40.4126147;-3.689725;1ª planta
3.300.000 €;Casa en El Viso;/comprar/casa-chamartin_el_viso28002-38369793146_106200/;El Viso (Distrito Chamartín. Madrid Capital);3 habs.;4 baños;218 m²;Lucas fox se complace en presentar esta magnífica casa pareada de diseño, ubicada en la prestigiosa zona de el viso, en madrid. Se...;40.4470367;-3.6832128;
3.300.000 €;Piso en calle Hermosilla;/comprar/piso-recoletos28001-40093838395_100500/;Recoletos (Distrito Salamanca. Madrid Capital);5 habs.;6 baños;310 m²;Magnífica vivienda exterior, impecable, muy luminosa, reformada con excelentes calidades y un gusto exquisito. Se trata de un edif...;40.4261506;-3.6821587;5ª planta
368.000 €;Piso en calle Enrique Urquijo, 150;/comprar/piso-el_canaveral-99190983927_992112/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);2 habs.;2 baños;139 m²;"¡¡Última vivienda disponible!!
Obra nueva entregada

Le presentamos ""residencial solaris – fase ii"" una promoción de obra nueva co...";40.402133141078295;-3.558244806703107;Bajo
859.000 €;Piso en calle del Pez;/comprar/piso-universidad_malasana28004-23393241071_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;3 baños;115 m²;Madrid village soluciones inmobiliarias ofrece estupendo piso exterior en zona malasaña, 4º planta, 115 m distribuidos en 3 dormit...;40.4241332;-3.7061974;4ª planta
629.000 €;Piso en calle de Ayala;/comprar/piso-fuente_del_berro28028-39182047976_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;54 m²;Casas castello vende este magnífico inmueble actualmente en reformas con muy buenas calidades en los materialers, situado en la pr...;40.4270898;-3.6729477;1ª planta
629.000 €;Piso en calle de Ayala;/comprar/piso-goya28009-40028217679_526322/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;57 m²;"Inmobiliaria san román presenta este maravilloso piso para convertirlo en el hogar de tus sueños.

*la vivienda consta de 2 habita...";40.4271348;-3.6698087;1ª planta
1.189.000 €;Piso en calle de la Montera;/comprar/piso-cortes_huertas28013-39200445475_525909/;Cortes-Huertas (Distrito Centro. Madrid Capital);4 habs.;4 baños;148 m²;Magnífico piso en el corazón de la ciudad, muy cerca de la plaza de sol. El estudio de arquitectura arctempus ha realizado una ref...;40.4182411;-3.702379;5ª planta
2.860.000 €;Chalet pareado en Mirasierra;/comprar/chalet_pareado-fuencarral_el_pardo_valverde28034-39242494113_102100/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);6 habs.;7 baños;565 m²;Chalet pareado con 6 habitaciones y 7 baños, superficie util de 565 metros cuadrados, superficie solar 751, superficie construida ...;40.4969225;-3.6913854;
598.700 €;Piso en Imperial;/comprar/piso-acacias28005-39237966271_102100/;Acacias (Distrito Arganzuela. Madrid Capital);2 habs.;2 baños;85 m²;Piso con 2 habitaciones y 2 baños, superficie util de 85 metros cuadrados, garaje 1, superficie construida 85, terraza 1,08, trast...;40.401240452;-3.714403372;
5.700.000 €;Piso en Plaza de la Independencia;/comprar/piso-jeronimos28014-36684805544_100500/;Jerónimos (Distrito Retiro. Madrid Capital);4 habs.;5 baños;410 m²;Mh global pone a disposición de sus clientes este fantástico y único piso situado en la plaza de la independencia de madrid frente...;40.420276596;-3.688324184;2ª planta
1.070.000 €;Piso en calle del Padre Damián, 5;/comprar/piso-chamartin_hispanoamerica28036-38364922336_101800/;Hispanoamérica (Distrito Chamartín. Madrid Capital);4 habs.;4 baños;200 m²;Walter haus tiene el placer de ofrecerle este magnífico inmueble exterior de 200 m², 3 dormitorios, en la planta 3ª, en una de las...;40.4546;-3.68721;3ª planta
250.000 €;Piso en calle de Alcalá;/comprar/piso-ciudad_lineal_quintana-33376745478_100500/;Quintana (Distrito Ciudad Lineal. Madrid Capital);3 habs.;1 baño;78 m²;"Vivienda exterior para actualizar próxima al metro quintana.

Luminosa, tranquila y con muchas posibilidades para convertirla en u...";40.4315637;-3.6583418;4ª planta
1.350.000 €;Piso en calle de Alonso Cano, 29;/comprar/piso-chamberi_almagro28010-37529010337_101800/;Almagro (Distrito Chamberí. Madrid Capital);5 habs.;2 baños;238 m²;Calibe asesores inmobiliarios comercializa espléndida vivienda de 238 m². Exterior, con dos amplios balcones, en el distrito de ch...;40.4377;-3.69782;3ª planta
660.000 €;Piso en Tirso de Molina;/comprar/piso-centro_embajadores_lavapies28012-37546287640_106700/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);7 habs.;3 baños;168 m²;"| piso - embajadores | madrid | home experience |

Un fantástico piso de 114m² en el multicultural y vanguardista barrio de lavapi...";40.4111159;-3.7035967;
365.000 €;Piso en Las Rosas;/comprar/piso-san_blas_rosas28022-40097591235_100500/;Rosas (Distrito San Blas. Madrid Capital);2 habs.;1 baño;101 m²;"¡¡¡ No cobramos honorarios al comprador!!!

Asesores inmobiliarios las rosas, pone a la venta este piso maravillosos que se encuen...";40.4317365;-3.6045866;4ª planta
