stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_10_25,25,CIUDAD DE LA IMAGEN,Calle   Juan de Orduña 4,40.39709,-3.78399,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_26,26,JOSE ISBERT,Calle   José Isbert 2,40.39525,-3.78993,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_27,27,CIUDAD DEL CINE,Calle   José Isbert 20,40.39455,-3.79557,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_28,28,RETAMARES,Ctra   Boadilla-Carabanchel (M-511) SN,40.39872,-3.81675,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_29,29,MONTEPRINCIPE,Avda del Montepríncipe 1,40.39792,-3.8358,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_29_738,29,Ascensor,Avda del Montepríncipe 1,40.39777,-3.83592,,http://www.crtm.es,2,est_10_29,,0
acc_10_29_739,29,Montepríncipe,Avda del Montepríncipe 1,40.39787,-3.83582,,http://www.crtm.es,2,est_10_29,,0
par_10_30,30,VENTORRO DEL CANO,Avda del Tranvía SN,40.3942,-3.83811,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_31,31,PRADO DEL ESPINO,Calle   Labradores 1,40.39502,-3.84774,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_32,32,CANTABRIA,Avda de Cantabria 3,40.39529,-3.86439,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_33,33,FERIAL DE BOADILLA,Ctra de Boadilla-Villaviciosa 13 A,40.40196,-3.87938,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_34,34,BOADILLA CENTRO,Ctra de Boadilla-Majadahonda 40,40.40714,-3.88004,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_35,35,NUEVO MUNDO,Avda del Nuevo Mundo 6 B,40.40564,-3.88576,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_36,36,SIGLO XXI,Avda del Siglo XXI 1,40.40513,-3.89263,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_37,37,INFANTE DON LUIS,Avda del Siglo XXI 11,40.40595,-3.89741,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_38,38,PUERTA DE BOADILLA,Avda   Siglo XXI SN,40.40777,-3.90378,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_39,39,COCHERAS,Ctra de Boadilla del Monte 90,40.39688,-3.80386,B1,http://www.crtm.es,0,,Europe/Madrid,2
est_10_29,29,MONTEPRINCIPE,Avda del Montepríncipe 1,40.39792,-3.8358,B1,http://www.crtm.es,1,,Europe/Madrid,2
par_10_50,50,PLAZA DE TOROS,Ctra   M-408 (Parla a Pinto) 1600,40.2441,-3.75756,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_51,51,JULIO ROMERO DE TORRES,Calle   Julio Romero de Torres 2,40.24535,-3.76232,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_52,52,LA BALLENA,Calle   Real 94,40.24599,-3.76635,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_53,53,PARLA CENTRO - BULEVAR NORTE,Calle  Real 81,40.24079,-3.76954,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_54,54,IGLESIA CENTRO,Calle   Real 28,40.23771,-3.77059,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_55,55,BULEVAR SUR,Calle   San Antón 4,40.23473,-3.77236,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_56,56,REYES CATOLICOS,Calle   Reyes Católicos 37,40.23141,-3.77,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_57,57,ISABEL II,Calle   Reyes Católicos 12,40.23114,-3.76508,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_58,58,PARQUE PARLA ESTE,Avda del Sistema Solar 5,40.22816,-3.76147,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_59,59,AVENIDA SISTEMA SOLAR,Avda del Sistema Solar 9,40.22343,-3.76072,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_60,60,TIERRA NORTE,Avda de las Estrellas 34,40.22195,-3.75406,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_61,61,TIERRA SUR,Avda de los Planetas 31,40.22254,-3.75675,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_62,62,VENUS NORTE,Avda de las Estrellas 49,40.22627,-3.75251,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_63,63,VENUS SUR,Avda de los Planetas 32,40.22683,-3.75522,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_64,64,ESTRELLA POLAR NORTE,Avda de las Estrellas 14,40.23015,-3.75112,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_65,65,ESTRELLA POLAR SUR,Avda de los Planetas 9,40.23072,-3.75383,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_66,66,JAIME I NORTE,Avda de las Estrellas 2,40.23414,-3.74969,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_67,67,JAIME I SUR,Avda de los Planetas 6,40.2347,-3.7524,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_68,68,POLIGONO INDUSTRIAL CIUDAD DE PARLA,Calle   Berlín 61,40.23867,-3.75045,B2,http://www.crtm.es,0,,Europe/Madrid,2
