OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
14,13648,5_103,20170530,5,103,"CASAR, EL",,S,103,60109,,92,93,U,28,065,06503,0650301,A0161,Avda,del,Casar,N,2,,,28903,02,020,,T065223,0650301045,7,4,B1,2,065-005,709,,582-1,2,3,20030421,20030101,,439800,4463554,T,,,,
15,10589,5_11,20170530,5,11,ATOCHA,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910055,0790101717,1,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,
16,12215,5_122,20170530,5,122,SOL,,I,122,18101,,90,58,U,28,079,07901,0790101,04980,Plaza,de la,Puerta del Sol,N,6,,,28013,01,119,016,T0799116,0790101560,,5,A,1,079-01-014,14,,solape,2,3,20090625,20090625,,440460,4474469,T,,,,
17,13713,5_18,20170530,5,18,CHAMARTIN,Complejo Ferroviario,I,18,17000,,90,25,U,28,079,07901,0790101,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791996,0790101150,1,1,A,1,079-05-086,86,11,559-2,2,3,20030331,19860101,,442257,4480589,T,,,,
18,12379,5_19,20170530,5,19,CIEMPOZUELOS,,S,19,60105,,93,171,U,28,040,04001,0400101,A0157,Avda,de,San Juan de Dios,N,7,,,28350,01,001,,T040131,0400101009,,4,B3,3,040-003,675,12,605-2,2,3,20030331,19860101,,448159,4445798,N,,,,
19,13620,5_29,20170530,5,29,"ESCORIAL, EL",,S,29,10203,,93,206,U,28,054,05404,0540401,00674,Calle, ,Estación Renfe,N,5,,,28280,02,002,,T054239,0540401006,,6,C1,4,054-001,1157,17,533-1,2,3,20030331,19860101,,404283,4493543,P,,,,
20,12377,5_8,20170530,5,8,ARANJUEZ,,S,8,60200,,93,140,U,28,013,01302,0130201,A0083,Calle,de la,Estación,N,5,,,28300,04,003,,T013242,0130201008,,4,C1,4,013-001,1089,5,605-4,2,3,20030331,19860101,,447358,4432014,N,,,,
21,10648,5_82,20170530,5,82,TORRELODONES,,S,82,10103,,93,352,U,28,152,15204,1520401,00474,Plaza,de,Salvador Sánchez Frascuelo,N,6,,,28250,01,005,,T152194,1520401002,,6,B3,3,152-001,1020,64,533-4,2,3,20030331,19860101,,419147,4492172,P,,,,
22,12380,5_86,20170530,5,86,VALDEMORO,,S,86,60104,,92,364,U,28,161,16101,1610101,00601,Paseo,de la,Estación,N,86,,,28343,01,010,,T1611839,,7,4,B3,2,161-006,849,66,582-4,2,3,20030331,19860101,,443524,4449936,T,,,,
23,5786,5_91,20170530,5,91,VILLALBA,,S,91,10200,,92,371,U,28,047,04705,0470501,A0107,Plaza,de la,Estación,N,1,,,28400,01,011,,T047414,0470501006,,6,B3,3,047-006,968,69,533-2,2,3,20030331,19860101,,414849,4497977,P,,,,
24,7907,5_93,20170530,5,93,VILLAVERDE BAJO,,S,93,60100,,92,23,U,28,079,07901,0790101,02052,Paseo,de la,Estación,N,2,,,28021,17,057,174,T07915541,0790101839,3,4,A,2,079-17-482,482,71,559-4,2,3,20030331,19860101,,442026,4467330,T,,,,
25,13523,5_94,20170530,5,94,ZARZALEJO,,S,94,10204,,93,375,U,28,183,18301,1830101,A0041,Calle,del,Ferrocarril,SN,13,,,28293,01,001,,T183140,1830101001,,5,C2,4,183-001,1172,92,533-3,2,3,20030331,19860101,,402029,4488404,T,,,,
26,12554,5_96,20170530,5,96,"ZORRERAS, LAS",,S,96,10202,,93,376,U,28,054,05406,0540601,00797,Calle, ,Alcudia,N,26,,,28292,01,004,,T054116,0540601010,,6,C1,4,054-002,1158,35,533-1,2,3,20030331,19860101,,411616,4496133,N,,,,
